logtick,degree,cmX,setspeed,reserved1,reserved2,reserved3
9672353,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672373,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672393,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672413,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672433,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672453,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672473,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672493,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672513,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672533,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672553,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672573,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672593,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672613,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672633,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672653,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672673,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672693,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672713,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672733,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672753,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672773,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672793,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672813,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672833,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672853,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672873,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672893,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672913,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672933,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672953,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672973,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9672993,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673013,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673033,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673053,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673073,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673093,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673113,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673133,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673153,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673173,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673193,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673213,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673233,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673253,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673273,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673293,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673313,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673333,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673353,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673373,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673393,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673413,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673433,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673453,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673473,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673493,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673513,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673533,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673553,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673573,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673593,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673613,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673633,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673653,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673673,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673693,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673713,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673733,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673753,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673773,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673793,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673813,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673833,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673853,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673873,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673893,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673913,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673933,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673953,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673973,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9673993,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9674013,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9674033,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9674053,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9674073,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9674093,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9674113,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
9674133,-180.0,39.33616298811545,-3814.640625,0.0,0.0,-3.1415927410125732
