logtick,degree,cmX,setspeed,reserved1,reserved2,reserved3
129917,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129937,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129957,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129977,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
129997,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
130017,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
130037,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
130057,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
130077,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
130097,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
130117,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
130137,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
130157,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
130177,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
130197,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
130217,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
130237,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
130257,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
130277,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
130297,-180.0,-38.25,0.0,0.0,0.0,-3.1415927410125732,40.0
