logtick,degree,cmX,setspeed,reserved1,reserved2,reserved3
97974,0.0,64.87945670628183,5746.604273436775,69.28930658710959,0.0,0.0
97994,-0.09206219312602291,65.1748726655348,5655.006464529163,69.40953067432179,0.0,0.0
98014,-0.09206219312602291,65.43972835314092,5573.898198577027,69.51861491364467,0.0,0.0
98034,-0.18412438625204583,65.69949066213923,5489.522894857443,69.61655315531084,0.0,0.0
98054,-0.27618657937806873,65.93378607809848,5415.63048843167,69.70334344101262,0.0,0.0
98074,-0.36824877250409166,66.15789473684211,5338.468925177754,69.77898797362039,0.0,0.0
98094,-0.36824877250409166,66.37691001697793,5255.290087368941,69.84349308563283,0.0,0.0
98114,-0.46031096563011453,66.58573853989813,5174.349776300158,69.89686920638688,0.0,0.0
98134,-0.46031096563011453,66.80475382003395,5081.902600873019,69.93913082805321,0.0,0.0
98154,-0.46031096563011453,66.99830220713073,4997.21044787598,69.97029647044731,0.0,0.0
98174,-0.46031096563011453,67.20713073005093,4898.281002566048,69.99038864468281,0.0,0.0
98194,-0.46031096563011453,67.40577249575551,4798.879613284804,69.99943381569545,0.0,0.0
98214,-0.46031096563011453,67.59422750424449,4699.0216308541,69.99746236366536,0.0,0.0
98234,-0.46031096563011453,67.75212224108658,4609.726207486315,69.98450854436572,0.0,0.0
98254,-0.46031096563011453,67.90492359932088,4517.260757261639,69.96061044846613,0.0,0.0
98274,-0.46031096563011453,68.04244482173175,4427.147725046625,69.92580995981793,0.0,0.0
98294,-0.46031096563011453,68.15959252971138,4342.161168113569,69.88015271275009,0.0,0.0
98314,-0.46031096563011453,68.276740237691,4251.325035025702,69.82368804840334,0.0,0.0
98334,-0.36824877250409166,68.38879456706282,4157.417386285834,69.7564689701299,0.0,0.0
98354,-0.36824877250409166,68.46519524617996,4076.970370005738,69.67855209798813,0.0,0.0
98374,-0.46031096563011453,68.52631578947368,3999.0138303705803,69.589997622357,0.0,0.0
98394,-0.46031096563011453,68.57724957555179,3920.830800186649,69.49086925670206,0.0,0.0
98414,-0.46031096563011453,68.60780984719864,3847.957475150365,69.38123418951557,0.0,0.0
98434,-0.5523731587561375,68.64346349745331,3766.6789431972556,69.26116303546439,0.0,0.0
98454,-0.46031096563011453,68.6842105263158,3677.0342512910506,69.1307297857659,0.0,0.0
98474,-0.46031096563011453,68.71986417657045,3584.565105080281,68.99001175782544,0.0,0.0
