logtick,degree,cmX,setspeed,reserved1,reserved2,reserved3
10613,1.5650572831423895,0.0,0.0,0.0,0.0,0.0
10633,1.5650572831423895,0.0,0.0,0.0,0.0,0.0
10653,1.5650572831423895,0.0,0.0,0.0,0.0,0.0
10673,1.5650572831423895,0.0,0.0,0.0,0.0,0.0
10693,1.7491816693944353,0.0,0.0,0.0,0.0,0.0
10713,1.7491816693944353,0.0,0.0,0.0,0.0,0.0
10733,1.7491816693944353,0.0,0.0,0.0,0.0,0.0
10753,1.7491816693944353,0.0,0.0,0.0,0.0,0.0
10773,1.7491816693944353,0.0,0.0,0.0,0.0,0.0
10793,2.025368248772504,0.0,0.0,0.0,0.0,0.0
10813,2.025368248772504,0.0,0.0,0.0,0.0,0.0
10833,2.025368248772504,0.0,0.0,0.0,0.0,0.0
10853,2.025368248772504,0.0,0.0,0.0,0.0,0.0
10873,2.025368248772504,0.0,0.0,0.0,0.0,0.0
10893,2.025368248772504,0.0,0.0,0.0,0.0,0.0
10913,2.025368248772504,0.0,0.0,0.0,0.0,0.0
10933,2.301554828150573,0.0,0.0,0.0,0.0,0.0
10953,2.301554828150573,0.0,0.0,0.0,0.0,0.0
10973,2.301554828150573,0.0,0.0,0.0,0.0,0.0
10993,2.301554828150573,0.0,0.0,0.0,0.0,0.0
11013,2.301554828150573,0.0,0.0,0.0,0.0,0.0
11033,2.301554828150573,0.0,0.0,0.0,0.0,0.0
11053,2.301554828150573,0.0,0.0,0.0,0.0,0.0
11073,2.301554828150573,0.0,0.0,0.0,0.0,0.0
11093,2.301554828150573,0.0,0.0,0.0,0.0,0.0
11113,2.301554828150573,0.0,0.0,0.0,0.0,0.0
11133,2.301554828150573,0.0,0.0,0.0,0.0,0.0
11153,2.301554828150573,0.0,0.0,0.0,0.0,0.0
11173,2.301554828150573,0.0,0.0,0.0,0.0,0.0
11193,2.301554828150573,0.0,0.0,0.0,0.0,0.0
11213,2.301554828150573,0.0,0.0,0.0,0.0,0.0
11233,2.301554828150573,0.0,0.0,0.0,0.0,0.0
11253,2.301554828150573,0.0,0.0,0.0,0.0,0.0
11273,2.301554828150573,0.0,0.0,0.0,0.0,0.0
11293,2.301554828150573,0.0,0.0,0.0,0.0,0.0
