logtick,degree,cmX,setspeed,reserved1,reserved2,reserved3
20034,-179.90916201963108,0.0,0.0,9.209365089191124e-06,0.0,-3.140007495880127
20054,-180.0,0.0,0.0,2.881370164686814e-08,-0.00014937669038772583,-3.1415927410125732
20074,-180.0,0.0,0.0,1.5854721377242267e-27,-3.5039828569054243e-14,-3.1415927410125732
20094,-180.0,0.0,0.0,0.0,-8.21941787281455e-24,-3.1415927410125732
20114,-180.0,0.0,0.0,0.0,-1.9280585075171858e-33,-3.1415927410125732
20134,-179.90916201963108,0.0,0.0,9.208917617797852e-06,1.771489905877388e-06,-3.140007495880127
20154,-179.90916201963108,0.0,0.0,9.209365089191124e-06,4.1554475539296433e-16,-3.140007495880127
20174,-179.90916201963108,0.0,0.0,9.209365089191124e-06,9.747582578373974e-26,-3.140007495880127
20194,-179.90916201963108,0.0,0.0,9.209365089191124e-06,2.2865254925812868e-35,-3.140007495880127
20214,-180.0,0.0,0.0,2.429654159641359e-06,-0.001371686696074903,-3.1415927410125732
20234,-180.0,0.0,0.0,1.3369119118429616e-25,-3.217614976541716e-13,-3.1415927410125732
20254,-180.0,0.0,0.0,0.0,-7.547674728570632e-23,-3.1415927410125732
20274,-180.0,0.0,0.0,0.0,-1.770485216296786e-32,-3.1415927410125732
20294,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20314,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20334,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20354,-179.90916201963108,0.0,0.0,9.208917617797852e-06,5.368151050788583e-06,-3.140007495880127
20374,-179.90916201963108,0.0,0.0,9.209365089191124e-06,1.2592264962007918e-15,-3.140007495880127
20394,-180.0,0.0,0.0,0.0,-6.932797003145197e-09,-3.1415927410125732
20414,-180.0,0.0,0.0,0.0,-1.6262511463496658e-18,-3.1415927410125732
20434,-180.0,0.0,0.0,0.0,-3.8147556446896364e-28,-3.1415927410125732
20454,-180.0,0.0,0.0,0.0,-8.948408930888488e-38,-3.1415927410125732
20474,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20494,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20514,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20534,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20554,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20574,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20594,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20614,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20634,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20654,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20674,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20694,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20714,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20734,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20754,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20774,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20794,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20814,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20834,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20854,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20874,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20894,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20914,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20934,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20954,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20974,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
20994,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21014,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21034,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21054,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21074,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21094,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21114,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21134,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21154,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21174,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21194,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21214,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21234,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21254,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21274,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21294,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21314,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21334,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21354,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21374,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21394,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21414,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21434,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21454,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21474,-179.90916201963108,0.0,0.0,0.0,0.00014937669038772583,-3.140007495880127
21494,-179.90916201963108,0.0,0.0,9.209365089191124e-06,1.156314407153294e-14,-3.140007495880127
21514,-180.0,0.0,0.0,2.645892891450785e-07,-0.00045265661901794374,-3.1415927410125732
21534,-180.0,0.0,0.0,1.4558971888470068e-26,-1.0618129910478641e-13,-3.1415927410125732
21554,-180.0,0.0,0.0,0.0,-2.490732698293632e-23,-3.1415927410125732
21574,-180.0,0.0,0.0,0.0,-5.8426014488782636e-33,-3.1415927410125732
21594,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21614,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21634,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21654,-179.90916201963108,0.0,0.0,3.152023418806493e-05,0.004156626295298338,-3.140007495880127
21674,-179.90916201963108,0.0,0.0,9.209365089191124e-06,9.750348315198942e-13,-3.140007495880127
21694,-179.90916201963108,0.0,0.0,9.209365089191124e-06,2.287174083677316e-22,-3.140007495880127
21714,-180.0,0.0,0.0,0.00020487482834141701,-5.845917030455894e-07,-3.1415927410125732
21734,-180.0,0.0,0.0,0.0,-4.52528278512896e-17,-3.1415927410125732
21754,-180.0,0.0,0.0,0.0,-1.0615118029971995e-26,-3.1415927410125732
21774,-180.0,0.0,0.0,0.0,-2.4900263872643497e-36,-3.1415927410125732
21794,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21814,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21834,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21854,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21874,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21894,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21914,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21934,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
21954,-180.0,0.0,0.0,0.0,0.0,-3.1415927410125732
