logtick,degree,cmX,setspeed,reserved1,reserved2,reserved3
1304494,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304514,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304534,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304554,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304574,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304594,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304614,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304634,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304654,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304674,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304694,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304714,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304734,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304754,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304774,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304794,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304814,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304834,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304854,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304874,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304894,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304914,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304934,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304954,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304974,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1304994,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1305014,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
1305034,179.8199549887472,74.98981324278438,0.0,3.639892383944243e-05,0.0,3.1384503841400146
