logtick,degree,cmX,setspeed,reserved1,reserved2,reserved3
3661294,8.777194298574642,-4.738641990984696,-4860.08203125,14.676133155822754,0.3866315484046936,0.15319094061851501,40.0
3661314,9.587396849212297,-4.738641990984696,-4860.08203125,14.686120986938477,1.1812268495559692,0.16733163595199585,40.0
3661334,10.487621905476374,-4.738641990984696,-4860.08203125,14.645881652832031,1.1844359636306763,0.18304353952407837,40.0
3661354,11.567891972993237,-4.738641990984696,-4860.08203125,14.6845703125,1.4519741535186768,0.20189781486988068,40.0
3661374,12.738184546136523,-4.738641990984696,-4860.08203125,14.693922996520996,0.5055435299873352,0.22232326865196228,40.0
3661394,14.178544636159046,-4.738641990984696,-4860.08203125,14.63564682006836,1.456093668937683,0.24746228754520416,40.0
3661414,15.798949737434356,-4.738641990984696,-4860.08203125,14.651598930358887,1.5587007999420166,0.275743693113327,40.0
3661434,17.689422355588903,-4.738641990984696,-4860.08203125,14.689586639404297,1.5725586414337158,0.30873867869377136,40.0
3661454,19.84996249062266,-4.738641990984696,-4860.08203125,14.563005447387695,2.6280431747436523,0.3464471995830536,40.0
3661474,22.100525131282808,-4.738641990984696,-4860.08203125,14.572690963745117,1.9578139781951904,0.3857269287109375,40.0
3661494,24.981245311327825,-4.738641990984696,-4860.08203125,14.482065200805664,2.7556047439575195,0.43600496649742126,40.0
3661514,28.042010502625658,-4.738641990984696,-4860.08203125,14.517355918884277,2.088278293609619,0.4894254505634308,40.0
3661534,31.552888222055515,-4.738641990984696,-4860.08203125,14.526605606079102,3.142388105392456,0.5507017970085144,40.0
3661554,35.513878469617396,-4.738641990984696,-4860.08203125,14.542991638183594,3.5023186206817627,0.6198341250419617,40.0
3661574,39.92498124531133,-4.738641990984696,-4860.08203125,14.35071086883545,4.323698043823242,0.6968223452568054,40.0
3661594,44.87621905476368,-4.738641990984696,-4860.08203125,14.421924591064453,3.660449743270874,0.7832378149032593,40.0
3661614,50.54763690922729,-4.738641990984696,-4860.08203125,14.332863807678223,5.804169178009033,0.8822227716445923,40.0
3661634,56.75918979744935,-4.738641990984696,-4860.08203125,14.159086227416992,5.923295497894287,0.9906347393989563,40.0
3661654,63.69092273068267,-4.738641990984696,-4860.08203125,14.176278114318848,6.284780025482178,1.1116163730621338,40.0
3661674,71.43285821455365,-4.738641990984696,-4860.08203125,13.870956420898438,7.4650726318359375,1.2467386722564697,40.0
3661694,79.89497374343586,-4.738641990984696,-4860.08203125,13.75342082977295,7.8517351150512695,1.39443039894104,40.0
3661714,89.16729182295575,-4.738641990984696,-4860.08203125,13.371848106384277,8.946870803833008,1.5562628507614136,40.0
3661734,99.2498124531133,-4.738641990984696,-4860.08203125,13.195938110351562,9.387852668762207,1.7322360277175903,40.0
3661754,110.1425356339085,-4.738641990984696,-4860.08203125,13.04769515991211,9.775853157043457,1.9223499298095703,40.0
3661774,121.84546136534135,-4.738641990984696,-4860.08203125,12.92204761505127,10.870782852172852,2.1266045570373535,40.0
3661794,134.17854463615902,-4.738641990984696,-4860.08203125,12.818997383117676,10.998326301574707,2.341857433319092,40.0
3661814,147.231807951988,-4.738641990984696,-4860.08203125,12.474719047546387,12.090310096740723,2.5696799755096436,40.0
3661834,160.64516129032256,-4.738641990984696,-4860.08203125,12.107210159301758,12.179486274719238,2.8037869930267334,40.0
