logtick,degree,cmX,setspeed,reserved1,reserved2,reserved3
4589294,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589314,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589334,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589354,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589374,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589394,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589414,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589434,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589454,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589474,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589494,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589514,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589534,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589554,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589574,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589594,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589614,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589634,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589654,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589674,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589694,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589714,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589734,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589754,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589774,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589794,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589814,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589834,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589854,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589874,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589894,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589914,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589934,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589954,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
4589974,-179.9099774943736,39.117147707979626,3503.525390625,9.209365998685826e-06,0.0,-3.140021324157715
