workspace,phase,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,motor_command_cm_s,cart_joint_effort_cmd_n,cart_force_cmd_n,hinge_assist_torque_nm,note
pid,SWING_UP,3.677,-179.740977,7.959577,-1.127399,0.000421882,-0.323214974,-3.137071849,0.000000,6,-0.011273991,-1.127399132,-0.805285094,-0.805285094,0.000000000,auto_capture
pid,SWING_UP,3.698,179.823771,8.268467,3.802769,0.000555448,-0.372018712,3.138516879,0.000000,6,0.038027693,3.802769294,2.716263781,2.716263781,0.000000000,auto_capture
pid,SWING_UP,3.718,179.493518,8.623393,-2.523488,0.000287714,-0.260951287,3.132752878,0.000000,6,-0.025234879,-2.523487875,-1.802491339,-1.802491339,0.000000000,auto_capture
pid,SWING_UP,3.739,179.156087,8.970148,-1.080621,0.000481375,-0.331213980,3.126863593,0.000000,6,-0.010806210,-1.080621046,-0.771872176,-0.771872176,0.000000000,auto_capture
pid,SWING_UP,3.760,178.723523,9.265023,2.373233,0.000632068,-0.365612536,3.119313928,0.000000,6,0.023732333,2.373233287,1.695166633,1.695166633,0.000000000,auto_capture
pid,SWING_UP,3.780,178.383165,9.592465,-3.992820,0.000475571,-0.282552686,3.113373567,0.000000,6,-0.039928196,-3.992819637,-2.852014026,-2.852014026,0.000000000,auto_capture
pid,SWING_UP,3.801,177.993414,9.884288,0.051266,0.000801772,-0.374551569,3.106571120,0.000000,6,0.000512659,0.051265899,-2.316494240,-2.316494240,0.000000000,auto_capture
pid,SWING_UP,3.832,177.385936,10.281170,-3.014199,0.000776186,-0.303255697,3.095968623,0.000000,6,-0.030141993,-3.014199314,-2.152999510,-2.152999510,0.000000000,auto_capture
pid,SWING_UP,3.853,177.005208,10.533186,-0.436364,0.001055145,-0.360291242,3.089323674,0.000000,6,-0.004363642,-0.436364215,-0.311688725,-0.311688725,0.000000000,auto_capture
pid,SWING_UP,3.873,176.588074,10.745869,-0.410013,0.001138676,-0.332840714,3.082043318,0.000000,6,-0.004100130,-0.410012967,-0.292866405,-0.292866405,0.000000000,auto_capture
pid,SWING_UP,3.894,176.252055,10.971477,-4.221651,0.001213707,-0.305969204,3.076178670,0.000000,6,-0.042216512,-4.221651246,-3.015465176,-3.015465176,0.000000000,auto_capture
pid,SWING_UP,3.915,175.828885,11.129031,2.074318,0.001618550,-0.380522411,3.068792958,0.000000,6,0.020743184,2.074318433,1.481656024,1.481656024,0.000000000,auto_capture
pid,SWING_UP,3.935,175.458870,11.281064,-4.228509,0.001598130,-0.302609284,3.062334977,0.000000,6,-0.042285089,-4.228508937,-3.020363527,-3.020363527,0.000000000,auto_capture
pid,SWING_UP,3.957,175.071074,11.392039,0.772799,0.001957501,-0.355817315,3.055566670,0.000000,6,0.007727986,0.772798558,0.551998970,0.551998970,0.000000000,auto_capture
pid,SWING_UP,3.978,174.700043,11.475349,-4.032144,0.002059464,-0.308975325,3.049090957,0.000000,6,-0.040321440,-4.032143987,-2.880102848,-2.880102848,0.000000000,auto_capture
pid,SWING_UP,3.999,174.315541,11.514363,-0.040180,0.002405381,-0.344870766,3.042380135,0.000000,6,-0.000401799,-0.040179921,-0.028699944,-0.028699944,0.000000000,auto_capture
pid,SWING_UP,4.019,173.953371,11.523161,-3.665168,0.002563108,-0.308216227,3.036059062,0.000000,6,-0.036651676,-3.665167620,-2.617976871,-2.617976871,0.000000000,auto_capture
