workspace,direction,force_n,torque_nm,elapsed_s,trial_elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_force_cmd_n,hinge_total_torque_nm,external_disturbance_torque_nm
ros2_pendulum_ws,positive,0.1000,0.040000,15.968,1.390,0.677095,-14.273190,-0.017044,0.784772613,0.001780666,0.011817532,-6.579681,7,-0.012174304,-0.004453206,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.019,1.440,0.682000,-14.117991,-0.016782,0.784772213,0.001669591,0.011903147,-6.464346,7,-0.011986956,-0.004477717,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.070,1.491,0.686695,-13.962068,-0.016417,0.784771827,0.001561742,0.011985096,-6.349190,7,-0.011502579,-0.004492757,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.120,1.541,0.690920,-13.814462,-0.015600,0.784771478,0.001468456,0.012058826,-6.237671,7,-0.011021846,-0.004503403,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.171,1.592,0.694973,-13.665989,-0.015303,0.784771142,0.001378162,0.012129561,-6.127444,7,-0.010928351,-0.004543943,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.221,1.643,0.698776,-13.519653,-0.015387,0.784770824,0.001295902,0.012195950,-6.020153,7,-0.010946803,-0.004569858,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.272,1.693,0.702353,-13.375448,-0.014666,0.784770524,0.001213042,0.012258373,-5.914187,7,-0.010649511,-0.004590483,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.323,1.744,0.705699,-13.233319,-0.014310,0.784770241,0.001137968,0.012316769,-5.809506,7,-0.010241397,-0.004602470,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.373,1.795,0.708842,-13.093201,-0.014410,0.784769975,0.001070146,0.012371623,-5.707741,7,-0.010222863,-0.004625257,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.424,1.845,0.711793,-12.955086,-0.013847,0.784769724,0.001002482,0.012423138,-5.606863,7,-0.009903827,-0.004638834,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.475,1.896,0.714567,-12.818930,-0.014000,0.784769487,0.000950421,0.012471554,-5.508517,7,-0.010407490,-0.004666626,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.525,1.947,0.717159,-12.684718,-0.013608,0.784769265,0.000884733,0.012516789,-5.411626,7,-0.009532035,-0.004672460,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.576,1.998,0.719593,-12.552394,-0.012814,0.784769055,0.000822232,0.012559272,-5.315782,7,-0.009111205,-0.004668791,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.627,2.048,0.721880,-12.421918,-0.012855,0.784768858,0.000776639,0.012599181,-5.221890,7,-0.009214044,-0.004695632,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.678,2.099,0.724026,-12.293268,-0.012952,0.784768672,0.000731493,0.012636631,-5.130313,7,-0.009256293,-0.004714107,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.729,2.150,0.726039,-12.166433,-0.012567,0.784768498,0.000683785,0.012671766,-5.039859,7,-0.008976545,-0.004725090,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.779,2.201,0.727927,-12.041378,-0.012316,0.784768333,0.000640863,0.012704715,-4.950965,7,-0.008797451,-0.004734101,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.830,2.251,0.729698,-11.918079,-0.012251,0.784768179,0.000602666,0.012735624,-4.863859,7,-0.008750772,-0.004747520,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.881,2.302,0.731358,-11.796511,-0.012020,0.784768034,0.000565165,0.012764610,-4.777993,7,-0.008585711,-0.004756070,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.931,2.352,0.732913,-11.676646,-0.011830,0.784767898,0.000529105,0.012791753,-4.693604,7,-0.008472581,-0.004759204,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,16.982,2.403,0.734379,-11.558464,-0.011998,0.784767769,0.000499482,0.012817327,-4.611770,7,-0.008567697,-0.004774110,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.033,2.454,0.735750,-11.441969,-0.011503,0.784767648,0.000465611,0.012841266,-4.530287,7,-0.008216679,-0.004777773,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.083,2.504,0.737034,-11.327117,-0.011380,0.784767535,0.000436510,0.012863678,-4.450530,7,-0.008172779,-0.004783459,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.133,2.555,0.738238,-11.213885,-0.011337,0.784767429,0.000410234,0.012884683,-4.372247,7,-0.008090938,-0.004787516,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.184,2.606,0.739367,-11.102256,-0.011104,0.784767329,0.000384187,0.012904392,-4.295079,7,-0.007907628,-0.004793240,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.234,2.656,0.740432,-10.992220,-0.010988,0.784767235,0.000357653,0.012922976,-4.220406,7,-0.008091919,-0.004814747,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.285,2.706,0.741426,-10.883775,-0.010812,0.784767147,0.000336750,0.012940330,-4.146369,7,-0.007880843,-0.004808019,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.336,2.757,0.742358,-10.776888,-0.010882,0.784767064,0.000319684,0.012956592,-4.073695,7,-0.007772584,-0.004819653,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.386,2.807,0.743229,-10.671538,-0.010498,0.784766987,0.000295809,0.012971788,-4.002007,7,-0.007670596,-0.004819600,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.437,2.858,0.744041,-10.567695,-0.010506,0.784766915,0.000278824,0.012985969,-3.931579,7,-0.007504566,-0.004821471,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.487,2.909,0.744803,-10.465354,-0.009596,0.784766847,0.000247210,0.012999259,-3.862169,7,-0.006970282,-0.004813097,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.538,2.960,0.745512,-10.364462,-0.009869,0.784766784,0.000238540,0.013011636,-3.793714,7,-0.007071223,-0.004810445,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.589,3.010,0.746186,-10.265011,-0.009998,0.784766723,0.000230179,0.013023394,-3.726849,7,-0.007220682,-0.004833314,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.640,3.061,0.688780,-10.128740,-0.060449,0.784772164,-0.011378695,0.012021478,-3.661718,7,-0.043177687,-0.013564158,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.690,3.112,0.644683,-9.956899,0.061891,0.784776058,-0.014979556,0.011251847,-3.597066,7,0.044207946,-0.002305346,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.741,3.162,0.605073,-9.778249,0.042462,0.784778874,-0.013738908,0.010560512,-3.533547,7,0.005489037,-0.004995756,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.792,3.213,0.570347,-9.605787,0.008238,0.784781155,-0.012206733,0.009954441,-3.471362,7,0.005884537,-0.004548940,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.842,3.264,0.536996,-9.429612,-0.000259,0.784783280,-0.011333921,0.009372356,-3.410135,7,0.003049654,-0.004475629,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.893,3.314,0.505654,-9.253603,-0.002699,0.784785172,-0.010645141,0.008825325,-3.350897,7,-0.001927831,-0.004457767,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.943,3.364,0.476217,-9.078108,-0.004134,0.784786847,-0.010007146,0.008311553,-3.291950,7,-0.002874695,-0.004286058,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,17.994,3.415,0.448575,-8.903400,-0.005874,0.784788327,-0.009400719,0.007829112,-3.233665,7,-0.004040608,-0.004101721,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.045,3.466,0.422626,-8.729717,-0.007761,0.784789637,-0.008826129,0.007376209,-3.176518,7,-0.005543396,-0.003896402,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.095,3.517,0.398265,-8.557299,-0.009602,0.784790795,-0.008285384,0.006951032,-3.120717,7,-0.006587838,-0.003777871,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.146,3.567,0.375399,-8.386375,-0.010770,0.784791820,-0.007784584,0.006551951,-3.066007,7,-0.007812018,-0.003647471,0.040000000
ros2_pendulum_ws,positive,0.1000,0.040000,18.198,3.619,0.353916,-8.217125,-0.012173,0.784792728,-0.007308334,0.006176998,-3.011718,7,-0.008694936,-0.003461794,0.040000000
