workspace,direction,force_n,torque_nm,elapsed_s,trial_elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_force_cmd_n,hinge_total_torque_nm,external_disturbance_torque_nm
ros2_pendulum_ws,positive,2.0500,0.820000,15.705,1.432,11.940472,-31.819227,28.000000,0.776309860,-0.006805221,0.208400543,8.647857,7,20.000000000,0.958313942,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,15.765,1.491,12.878631,-28.796304,-13.975711,0.774988759,-0.122291308,0.224774521,8.647857,7,-31.340315505,-1.229364207,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,15.816,1.542,13.331332,-30.326930,-1.841279,0.774226060,-0.004802771,0.232675637,8.647857,7,-2.121870746,0.078592500,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,15.867,1.593,13.206030,-32.577168,9.362258,0.774440707,-0.066665163,0.230488698,8.647857,7,16.888258855,0.771101337,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,15.918,1.644,12.985034,-32.784277,28.000000,0.774977311,-0.229920157,0.226631593,8.647857,7,20.000000000,-0.120552197,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,15.968,1.695,12.650910,-29.888900,-0.808203,0.775763195,0.349881117,0.220800027,8.647857,7,-18.546908869,0.838738538,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.019,1.745,13.854076,-29.442504,-27.243648,0.774176460,0.444937992,0.241799241,8.647857,7,-11.562775793,-0.202705184,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.070,1.797,14.126193,-31.769505,14.849687,0.772936073,-0.022558203,0.246548577,8.647857,7,6.709112881,-0.353953963,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.121,1.848,13.680284,-33.051172,27.269620,0.773784334,-0.170662343,0.238766001,8.647857,7,2.409599060,0.471865662,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.172,1.899,13.282620,-31.615451,28.000000,0.774328606,-0.080391965,0.231825453,8.647857,7,20.000000000,0.213200857,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.223,1.950,14.141524,-29.461296,-15.041818,0.772962296,-0.116079789,0.246816163,8.647857,7,-9.298396651,0.259416539,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.274,2.001,14.527800,-31.278513,10.258689,0.772254493,-0.016387801,0.253557945,8.647857,7,-2.727612302,0.036508751,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.325,2.052,14.388348,-33.117095,16.140753,0.772515813,0.077367661,0.251124048,8.647857,7,1.357963338,-0.096331046,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.376,2.103,13.753354,-32.911574,28.000000,0.774163971,-0.392046630,0.240041302,8.647857,7,20.000000000,0.626791816,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.427,2.154,13.646959,-29.457149,-0.635172,0.775576692,0.680982332,0.238184374,8.647857,7,-23.238970586,0.676484478,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.478,2.205,14.835865,-28.822309,-32.941687,0.772781185,0.515389485,0.258934685,8.647857,7,-19.134384347,-0.704087065,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.529,2.256,15.098016,-31.331558,3.229520,0.771296731,0.102140516,0.263510084,8.647857,7,8.946910708,-0.321071524,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.582,2.309,14.631278,-33.204418,10.438603,0.772330445,-0.252695546,0.255363980,8.647857,7,20.000000000,-0.372890308,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.642,2.369,14.320575,-32.456907,28.000000,0.773242393,0.398575067,0.249941177,8.647857,7,20.000000000,-0.090893401,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.693,2.420,14.699402,-29.304461,-14.799312,0.773196848,0.556763629,0.256552966,8.647857,7,-45.000000000,-2.350402089,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.745,2.471,15.172285,-30.100472,-8.023291,0.771122224,0.002692803,0.264806322,8.647857,7,-5.730922448,-0.086804223,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.795,2.522,14.907691,-32.588421,13.042483,0.771715149,-0.175159317,0.260188297,8.647857,7,9.316059148,0.355742150,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.846,2.573,14.570623,-33.104274,28.000000,0.772453429,-0.261574973,0.254305347,8.647857,7,20.000000000,0.583141755,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.897,2.624,13.904265,-30.382442,13.552001,0.773559589,-0.253702279,0.242675199,8.647857,7,20.000000000,0.742867123,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,16.949,2.676,15.026577,-28.885264,-24.812199,0.771584982,0.225187832,0.262263250,8.647857,7,-17.722998964,-0.612145847,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.000,2.727,15.496339,-31.166974,7.854568,0.770650589,0.169778177,0.270462129,8.647857,7,5.610405807,-0.507038864,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.051,2.778,15.077265,-33.150041,13.726843,0.771517201,-0.237280934,0.263147917,8.647857,7,3.068778177,0.494771324,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.102,2.829,14.582114,-33.045336,28.000000,0.772214943,0.117266192,0.254505894,8.647857,7,20.000000000,-0.326758902,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.153,2.880,14.344339,-30.143349,13.415412,0.772578737,-0.054959185,0.250355940,8.647857,7,-29.963499115,0.100691848,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.204,2.931,15.263635,-28.490072,-15.647274,0.770959117,-0.016916968,0.266400693,8.647857,7,-11.176624458,-0.045161632,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.255,2.982,15.654748,-30.842441,-6.811827,0.770263717,0.070232013,0.273226894,8.647857,7,-4.865590719,-0.277528270,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.306,3.033,15.116086,-33.304389,14.873336,0.771731848,-0.356756886,0.263825471,8.647857,7,9.388912898,-0.499705583,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.358,3.084,13.616517,-33.337322,4.688401,0.775117940,-0.580314242,0.237653059,8.647857,7,3.348857859,0.584733780,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.409,3.135,12.644119,-31.288240,28.000000,0.775293800,-0.050222120,0.220681502,8.647857,7,20.000000000,-0.180774344,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.460,3.187,12.350377,-28.164117,-15.018070,0.776311179,-0.384754024,0.215554747,8.647857,7,-5.953182097,0.190523516,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.511,3.238,11.676198,-28.015299,3.862999,0.777289494,-0.390332913,0.203788092,8.647857,7,-1.890872098,-0.066483892,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.563,3.290,11.007540,-28.475627,1.467414,0.777851296,-0.260118488,0.192117819,8.647857,7,1.048152752,-0.028916214,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.614,3.341,10.346497,-28.902050,0.771072,0.778614499,-0.220836497,0.180580434,8.647857,7,1.338735200,-0.019128128,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.666,3.392,9.705697,-29.178949,0.992529,0.779365920,-0.213572991,0.169396361,8.647857,7,0.823691133,-0.056232548,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.717,3.444,9.100517,-29.300765,1.067707,0.780028246,-0.204712423,0.158833986,8.647857,7,0.727244510,-0.053795240,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.768,3.495,8.534905,-29.283484,0.963305,0.780602237,-0.192235868,0.148962186,8.647857,7,0.678915892,-0.047734104,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.819,3.546,8.006703,-29.145527,0.824039,0.781103661,-0.179487009,0.139743333,8.647857,7,0.603074017,-0.044872835,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.870,3.597,7.513529,-28.904312,0.659878,0.781542896,-0.167359981,0.131135822,8.492571,7,0.490255801,-0.044341729,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.922,3.649,7.052653,-28.578448,0.555152,0.781928984,-0.156512997,0.123092014,8.341132,7,0.410487903,-0.043140029,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,17.972,3.699,6.621310,-28.181984,0.470690,0.782268525,-0.146503522,0.115563653,8.194134,7,0.349332634,-0.041481350,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.023,3.750,6.217546,-27.725905,0.397755,0.782567102,-0.137167566,0.108516649,8.050905,7,0.284110962,-0.039754449,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.074,3.800,5.839406,-27.219688,0.333333,0.782829846,-0.128472624,0.101916855,7.908487,7,0.246761580,-0.038492158,0.820000000
ros2_pendulum_ws,positive,2.0500,0.820000,18.125,3.852,5.485193,-26.671633,0.276526,0.783061120,-0.120359127,0.095734670,7.767498,7,0.205219356,-0.036948658,0.820000000
