workspace,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,cart_force_cmd_n,hinge_assist_torque_nm,external_force_n,note
real,3.464,-178.883171,7.145706,1.952827,0.000688888,-0.391900566,-3.122100309,0.000000,6,0.019528265,1.394876082,0.000000000,0.000000,swing_up
real,3.494,-179.441287,7.652798,-1.187199,0.000275770,-0.253531891,-3.131841280,0.000000,6,-0.011871993,-0.847999498,0.000000000,0.000000,swing_up
real,3.515,-179.752460,8.022758,-2.818703,0.000383191,-0.308029703,-3.137272265,0.000000,6,-0.028187030,-2.013359310,0.000000000,0.000000,swing_up
real,3.535,179.799399,8.328868,3.454809,0.000647501,-0.401589313,3.138091500,0.000000,6,0.034548094,2.467721031,0.000000000,0.000000,swing_up
real,3.556,179.417362,8.662540,-1.015523,0.000377700,-0.298919375,3.131423699,0.000000,6,-0.010155234,-0.725373835,0.000000000,0.000000,swing_up
real,3.576,179.071550,9.007621,-1.053638,0.000492186,-0.331914010,3.125388148,0.000000,6,-0.010536380,-0.752598564,0.000000000,0.000000,swing_up
real,3.597,178.653347,9.310864,0.567810,0.000595880,-0.349106222,3.118089121,0.000000,6,0.005678100,0.405578593,0.000000000,0.000000,swing_up
real,3.617,178.293358,9.630368,-2.726666,0.000583717,-0.320020979,3.111806126,0.000000,6,-0.027266659,-1.947618486,0.000000000,0.000000,swing_up
real,3.638,177.878317,9.910819,1.715405,0.000796954,-0.363299448,3.104562292,0.000000,6,0.017154052,1.225289399,0.000000000,0.000000,swing_up
real,3.659,177.514810,10.199074,-4.200823,0.000750870,-0.308951301,3.098217911,0.000000,6,-0.042008231,-3.000587909,0.000000000,0.000000,swing_up
real,3.679,177.099492,10.444475,2.081574,0.001076498,-0.378747356,3.090969243,0.000000,6,0.020815737,1.486838331,0.000000000,0.000000,swing_up
real,3.699,176.723505,10.686589,-3.588744,0.001015961,-0.305991542,3.084407019,0.000000,6,-0.005259237,-0.375659762,0.000000000,0.000000,swing_up
real,3.721,176.334347,10.898500,0.576105,0.001323578,-0.360824172,3.077614944,0.000000,6,0.005761051,0.411503657,0.000000000,0.000000,swing_up
real,3.741,175.946124,11.083977,-3.048588,0.001387430,-0.318454080,3.070839177,0.000000,6,-0.030485878,-2.177562704,0.000000000,0.000000,swing_up
real,3.762,175.564328,11.243044,0.095301,0.001667684,-0.350843897,3.064175581,0.000000,6,0.000953013,0.068072371,0.000000000,0.000000,swing_up
real,3.782,175.182289,11.369870,-3.408437,0.001788061,-0.316895308,3.057507730,0.000000,6,-0.034084373,-2.434598106,0.000000000,0.000000,swing_up
real,3.803,174.799873,11.461846,-0.198661,0.002093843,-0.345977759,3.050833314,0.000000,6,-0.001986613,-0.141900946,0.000000000,0.000000,swing_up
real,3.823,174.427075,11.520963,-3.348976,0.002250269,-0.314464623,3.044326762,0.000000,6,-0.033489761,-2.392125778,0.000000000,0.000000,swing_up
real,3.844,174.048534,11.537517,-0.801750,0.002567672,-0.336403123,3.037719974,0.000000,6,-0.008017502,-0.572678720,0.000000000,0.000000,swing_up
real,3.865,173.686187,11.519157,-3.163944,0.002767914,-0.311368400,3.031395828,0.000000,6,-0.031639436,-2.259959728,0.000000000,0.000000,swing_up
real,3.885,173.315105,11.451724,-1.424468,0.003089482,-0.324692775,3.024919233,0.000000,6,-0.014244682,-1.017477309,0.000000000,0.000000,swing_up
real,3.906,172.962211,11.345289,-3.015747,0.003330833,-0.305907590,3.018760058,0.000000,6,-0.030157469,-2.154104898,0.000000000,0.000000,swing_up
real,3.926,172.601894,11.185407,-1.759551,0.003659953,-0.313602978,3.012471348,0.000000,6,-0.017595510,-1.256822108,0.000000000,0.000000,swing_up
real,3.947,172.262522,10.982930,-3.360887,0.003917441,-0.293587638,3.006548186,0.000000,6,-0.033608870,-2.400633559,0.000000000,0.000000,swing_up
real,3.968,171.916104,10.722367,-2.062604,0.004260558,-0.300568918,3.000502056,0.000000,6,-0.020626043,-1.473288773,0.000000000,0.000000,swing_up
real,3.988,171.589965,10.414193,-3.228918,0.004541049,-0.283490248,2.994809860,0.000000,6,-0.032289181,-2.306370102,0.000000000,0.000000,swing_up
real,4.009,171.245142,10.025515,-2.634397,0.004890608,-0.282224602,2.988791564,0.000000,6,-0.026343967,-1.881711947,0.000000000,0.000000,swing_up
real,4.029,170.950304,9.623324,-3.117287,0.005177709,-0.270751490,2.983645658,0.000000,6,-0.031172875,-2.226633903,0.000000000,0.000000,swing_up
real,4.050,170.642252,9.138805,-2.952947,0.005501680,-0.264457919,2.978269133,0.000000,6,-0.029529469,-2.109247759,0.000000000,0.000000,swing_up
real,4.070,170.350958,8.596286,-3.163677,0.005809236,-0.253932120,2.973185096,0.000000,6,-0.031636773,-2.259769508,0.000000000,0.000000,swing_up
real,4.091,170.065315,7.988508,-3.216418,0.006122608,-0.244231410,2.968199688,0.000000,6,-0.032164185,-2.297441777,0.000000000,0.000000,swing_up
real,4.111,169.796402,7.318765,-3.305377,0.006424123,-0.233514050,2.963506269,0.000000,6,-0.033053766,-2.360983317,0.000000000,0.000000,swing_up
real,4.132,169.535819,6.581231,-3.317294,0.006724759,-0.222830552,2.958958242,0.000000,6,-0.033172937,-2.369495499,0.000000000,0.000000,swing_up
real,4.152,169.292295,5.778268,-3.428606,0.007009780,-0.210499614,2.954707946,0.000000,6,-0.034286061,-2.449004381,0.000000000,0.000000,swing_up
real,4.173,169.060078,4.905486,-3.490307,0.007287898,-0.197927768,2.950654988,0.000000,6,-0.034903068,-2.493076320,0.000000000,0.000000,swing_up
real,4.193,168.845075,3.964116,-3.511736,0.007550310,-0.185037334,2.946902491,0.000000,6,-0.035117360,-2.508382822,0.000000000,0.000000,swing_up
real,4.214,168.643919,2.951097,-3.602380,0.007798880,-0.170754998,2.943391659,0.000000,6,-0.036023797,-2.573128334,0.000000000,0.000000,swing_up
real,4.244,168.374657,1.297405,-3.565024,0.008139206,-0.149662860,2.938692138,0.000000,6,-0.035650242,-2.546445857,0.000000000,0.000000,swing_up
real,4.265,168.217437,0.104055,-3.749817,0.008338447,-0.132677545,2.935948132,0.000000,6,-0.037498166,-2.678440459,0.000000000,0.000000,swing_up
real,4.285,168.077577,-1.163459,-3.657460,0.008520144,-0.117658136,2.933507116,0.000000,6,-0.036574597,-2.612471210,0.000000000,0.000000,swing_up
real,4.306,167.957678,-2.504810,-3.774687,0.008675174,-0.099905299,2.931414481,0.000000,6,-0.037746872,-2.696205155,0.000000000,0.000000,swing_up
real,4.327,167.856813,-3.921206,-3.714665,0.008807635,-0.083169204,2.929654058,0.000000,6,-0.037146652,-2.653332293,0.000000000,0.000000,swing_up
real,4.347,167.794616,-5.403909,2.640140,0.008872718,-0.027027073,2.928568524,0.000000,6,0.026401396,1.885813967,0.000000000,0.000000,swing_up
real,4.368,167.966207,-6.859766,4.357912,0.008852076,0.239274526,2.931563346,0.000000,6,0.043579116,3.112794034,0.000000000,0.000000,swing_up
