elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_force_cmd_n,hinge_assist_torque_nm
3.394844143998853,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,1,0.0,0.0
3.4057760489995417,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,1,0.0,0.0
3.416759218000152,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.4275493450004433,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.4380745620001107,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.448924682999859,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.45943900400016,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.4701429460001236,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.480685344999074,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.491233259999717,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.5014478209996014,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.5123778409997612,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.522410255000068,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.533063212000343,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.5434810129991092,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.5539042609998432,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.563718418999997,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.5741859469999326,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.584823189999952,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.594966791999468,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.605132603999664,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.6155760359997657,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.626186040999528,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.636270417999185,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.6469004669997958,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.6572144829988247,-180.0,0.0,6.45677802092905,0.0,0.0,-3.141592653589793,0.0,6,4.611984300663607,0.0
3.6673024909996457,-179.96441485834134,0.0165962668541845,2.800752006102287,2.3419618614044634e-05,0.07639361372457262,-3.1409715757030607,0.0,6,4.611984300663607,0.0
3.6784620099988388,-179.8703224940118,0.060650543321025104,2.803473425380212,0.00010817239041240524,0.16368212452669892,-3.1393293541445244,0.0,6,2.002481018128723,0.0
3.6885176119994867,-179.74299339021098,0.12064687151678466,2.80661022231322,0.00020586120918308695,0.22467394838170407,-3.1371070420495863,0.0,6,2.0047215873665856,0.0
3.6986448009993182,-179.5830942066315,0.19656450019419247,-3.575938189111013,0.00032796490547451815,0.2817698561483817,-3.1343162748248736,0.0,6,-2.5542415636507236,0.0
3.7090482839994365,-179.42661496942804,0.271962257328555,-0.647251096735515,0.0002934259658167813,0.26161845258954397,-3.131585196924664,0.0,6,-0.4623222119539392,0.0
3.7192123499989975,-179.3009529380713,0.33428949454620716,2.8072037288929,0.00022434469980739911,0.2208729458584801,-3.129391980732745,0.0,6,2.005145520637786,0.0
3.7295448730001226,-179.16772710442208,0.40160991600705787,2.511056404279535,0.00027060627487468644,0.2393785925270734,-3.1270667512868515,0.0,6,2.005145520637786,0.0
3.7397699809989717,-179.005932569187,0.4839826788761148,-3.886189135949515,0.0003832860763656765,0.28470539496462055,-3.1242429039352655,0.0,6,-2.7758493828210824,0.0
3.7501325359990005,-178.85363416887733,0.5639899743124133,0.09386879568069446,0.00033617585412334,0.25378967229146454,-3.1215847954043414,0.0,6,0.06704913977192462,0.0
3.7603145510001923,-178.73247995503442,0.6317408170206494,2.80900953484446,0.00028058265658462405,0.21480583950237228,-3.1194702554701172,0.0,6,2.006435382031757,0.0
3.771039724999355,-178.60108254724463,0.7067010512316911,2.6593578760204757,0.00033835233724875273,0.23526474332278136,-3.1171769380755996,0.0,6,1.8995413400146255,0.0
