workspace,direction,critical_force_n,critical_torque_nm,previous_survived_force_n,fall_reason,tested_forces_n,pendulum_length_m,fail_angle_deg,rail_fail_cm,push_duration_s,recovery_observe_time_s,notes
ros2_pendulum_ws,positive,2.1500,0.860000,2.1000,rail_limit,2.0500;2.1000;2.1500;2.2000;2.2500;2.3000;2.3500;2.4000;2.4500;2.5000,0.400,18.000,38.000,3.000,2.000,critical_force_is_minimum_tested_force_that_failed
ros2_pendulum_ws,negative,2.2000,0.880000,2.1500,rail_limit,2.0500;2.1000;2.1500;2.2000;2.2500;2.3000;2.3500;2.4000;2.4500;2.5000,0.400,18.000,38.000,3.000,2.000,critical_force_is_minimum_tested_force_that_failed
pendulum_real_ws,positive,2.0500,0.820000,,rail_limit,2.0500;2.1000;2.1500;2.2000;2.2500;2.3000;2.3500;2.4000;2.4500;2.5000,0.400,18.000,38.000,3.000,2.000,critical_force_is_minimum_tested_force_that_failed
pendulum_real_ws,negative,2.1000,0.840000,2.0500,rail_limit,2.0500;2.1000;2.1500;2.2000;2.2500;2.3000;2.3500;2.4000;2.4500;2.5000,0.400,18.000,38.000,3.000,2.000,critical_force_is_minimum_tested_force_that_failed
pendulum_pid_ws,positive,2.0500,0.820000,,rail_limit,2.0500;2.1000;2.1500;2.2000;2.2500;2.3000;2.3500;2.4000;2.4500;2.5000,0.400,18.000,38.000,3.000,2.000,critical_force_is_minimum_tested_force_that_failed
pendulum_pid_ws,negative,2.3000,0.920000,2.2500,rail_limit,2.0500;2.1000;2.1500;2.2000;2.2500;2.3000;2.3500;2.4000;2.4500;2.5000,0.400,18.000,38.000,3.000,2.000,critical_force_is_minimum_tested_force_that_failed
