workspace,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,cart_force_cmd_n,hinge_assist_torque_nm,external_force_n,note
pid,3.667,-178.114852,6.645820,-0.958116,0.000462730,-0.250176687,-3.108690608,0.000000,6,-0.009581163,-0.684368758,0.000000000,0.000000,swing_up
pid,3.687,-178.426263,7.008607,-1.778121,0.000531205,-0.309513822,-3.114125757,0.000000,6,-0.017781206,-1.270086177,0.000000000,0.000000,swing_up
pid,3.708,-178.866267,7.320503,4.499219,0.000676973,-0.387348449,-3.121805271,0.000000,6,0.044992190,3.213727883,0.000000000,0.000000,swing_up
pid,3.729,-179.221708,7.677797,-1.900005,0.000354960,-0.282293226,-3.128008887,0.000000,6,-0.019000055,-1.357146777,0.000000000,0.000000,swing_up
pid,3.750,-179.581848,8.036771,-1.023860,0.000513259,-0.354545168,-3.134294521,0.000000,6,-0.010238603,-0.731328813,0.000000000,0.000000,swing_up
pid,3.771,179.956798,8.349553,5.486450,0.000612684,-0.391335087,3.140838629,0.000000,6,0.054864499,3.918892807,0.000000000,0.000000,swing_up
pid,3.791,179.637455,8.726478,-0.788179,0.000226477,-0.233785032,3.135265045,0.000000,6,-0.007881794,-0.562985253,0.000000000,0.000000,swing_up
pid,3.812,179.373123,9.125403,-4.205251,0.000294368,-0.260231525,3.130651584,0.000000,6,-0.042052512,-3.003750867,0.000000000,0.000000,swing_up
pid,3.833,178.958155,9.448330,2.257820,0.000664340,-0.387127145,3.123409027,0.000000,6,0.022578196,1.612728253,0.000000000,0.000000,swing_up
pid,3.853,178.560347,9.770266,-0.790541,0.000516495,-0.313301222,3.116465961,0.000000,6,-0.007905408,-0.564671988,0.000000000,0.000000,swing_up
pid,3.874,178.214207,10.104906,-2.457276,0.000618177,-0.326953836,3.110424679,0.000000,6,-0.024572762,-1.755197277,0.000000000,0.000000,swing_up
pid,3.895,177.780958,10.384957,2.515606,0.000857378,-0.375206181,3.102863064,0.000000,6,0.025156055,1.796861105,0.000000000,0.000000,swing_up
pid,3.916,177.426721,10.684936,-3.891212,0.000735249,-0.291358590,3.096680458,0.000000,6,-0.038912124,-2.779437435,0.000000000,0.000000,swing_up
pid,3.936,177.034095,10.947823,-0.279808,0.001084687,-0.373854033,3.089827844,0.000000,6,-0.002798078,-0.199862681,0.000000000,0.000000,swing_up
pid,3.956,176.613385,11.175425,-0.293446,0.001132302,-0.334303913,3.082485075,0.000000,6,-0.002934460,-0.209604282,0.000000000,0.000000,swing_up
pid,3.976,176.280310,11.419167,-4.221220,0.001189555,-0.301213602,3.076671814,0.000000,6,-0.042212204,-3.015157432,0.000000000,0.000000,swing_up
pid,3.997,175.865554,11.597633,1.887090,0.001576857,-0.372720495,3.069432959,0.000000,6,0.018870904,1.347921682,0.000000000,0.000000,swing_up
pid,4.018,175.500898,11.769434,-4.227993,0.001569194,-0.300015973,3.063068508,0.000000,6,-0.042279928,-3.019994829,0.000000000,0.000000,swing_up
pid,4.038,175.108980,11.896043,0.087786,0.001962063,-0.365104560,3.056228243,0.000000,6,0.000877864,0.062704571,0.000000000,0.000000,swing_up
pid,4.059,174.718030,11.987784,-2.774507,0.002066300,-0.316250964,3.049404891,0.000000,6,-0.027745070,-1.981790713,0.000000000,0.000000,swing_up
