workspace,source_csv,swing_samples,swing_duration_s,force_min_n,force_max_n,force_abs_mean_n,force_rms_n,force_abs_p95_n,force_abs_peak_n,force_abs_impulse_n_s,force_signed_impulse_n_s,cmd_work_signed_estimate_j,cmd_work_positive_estimate_j,motor_command_abs_mean_cm_s,motor_command_abs_p95_cm_s,motor_command_abs_peak_cm_s,real_style_pwm_abs_mean,real_style_pwm_abs_p95,energy_start_j,energy_end_j,energy_peak_j,energy_gain_to_peak_j,balance_energy_reference_j,energy_ready_ratio,theta_dot_abs_peak_rad_s,cart_position_min_cm,cart_position_max_cm,hinge_assist_abs_mean_nm,hinge_assist_abs_peak_nm,reference_label,hardware_validation_required,interpretation
pendulum_pid_ws,hardware_logical_swing_validation_20260510.csv,90,4.562000,-65.000000,35.455682,9.863374,16.099728,36.351756,65.000000,44.769507,-5.295802,10.785818,10.785818,11.328020,32.950015,57.962433,5209.841848,9442.847744,0.000000,0.777440,0.777440,0.777440,0.784695,0.990754,10.276605,-38.760696,38.825453,0.374478,3.754285,real_style_reference_envelope,yes,patokan_awal_real_berbasis_model; wajib dibandingkan dengan log alat asli sebelum diklaim gaya motor aktual
pendulum_real_ws,hardware_logical_swing_validation_20260510.csv,91,4.625000,-65.000000,32.697126,11.094048,16.807697,30.835258,65.000000,52.263672,-3.801267,11.131096,11.328460,12.489629,35.598996,75.968564,5359.055397,9943.770058,0.000000,0.779021,0.779021,0.779021,0.784709,0.992752,8.347961,-38.994767,38.961214,0.462862,4.500000,real_style_reference_envelope,yes,patokan_awal_real_berbasis_model; wajib dibandingkan dengan log alat asli sebelum diklaim gaya motor aktual
ros2_pendulum_ws,hardware_logical_swing_validation_20260510.csv,109,5.529000,-28.236391,60.051768,7.840971,12.911059,26.662652,60.051768,43.214497,2.521155,8.020071,8.608407,9.856032,32.237326,57.491468,,,0.000005,0.777733,0.777733,0.777728,0.784673,0.991155,7.900585,-38.998647,38.999895,0.280536,3.215087,simulation_reference_envelope,yes,patokan_awal_real_berbasis_model; wajib dibandingkan dengan log alat asli sebelum diklaim gaya motor aktual
