workspace,source_csv,swing_samples,swing_duration_s,force_min_n,force_max_n,force_abs_mean_n,force_rms_n,force_abs_p95_n,force_abs_peak_n,force_abs_impulse_n_s,force_signed_impulse_n_s,cmd_work_signed_estimate_j,cmd_work_positive_estimate_j,motor_command_abs_mean_cm_s,motor_command_abs_p95_cm_s,motor_command_abs_peak_cm_s,real_style_pwm_abs_mean,real_style_pwm_abs_p95,energy_start_j,energy_end_j,energy_peak_j,energy_gain_to_peak_j,balance_energy_reference_j,energy_ready_ratio,theta_dot_abs_peak_rad_s,cart_position_min_cm,cart_position_max_cm,hinge_assist_abs_mean_nm,hinge_assist_abs_peak_nm,reference_label,hardware_validation_required,interpretation
pendulum_pid_ws,multi_swing_validation_20260510.csv,152,7.950000,-26.203361,28.169400,5.685265,8.099505,17.245567,28.169400,45.058160,-1.624547,7.259090,7.260230,7.977683,24.143793,39.901837,4548.544839,7777.591280,0.000005,0.789914,0.868826,0.868821,0.784801,1.107066,8.406291,-38.989387,38.169831,1.848339,4.500000,real_style_reference_envelope,yes,patokan_awal_real_berbasis_model; wajib dibandingkan dengan log alat asli sebelum diklaim gaya motor aktual
pendulum_real_ws,multi_swing_validation_20260510.csv,155,7.957000,-30.956198,28.252929,4.957976,7.445852,16.515618,30.956198,39.610485,-2.347136,6.215123,6.215123,6.941167,23.121866,43.338678,4272.453805,7584.344832,0.000073,0.786484,0.795819,0.795746,0.784801,1.014040,7.437908,-38.976257,38.035211,1.142588,4.429410,real_style_reference_envelope,yes,patokan_awal_real_berbasis_model; wajib dibandingkan dengan log alat asli sebelum diklaim gaya motor aktual
ros2_pendulum_ws,multi_swing_validation_20260510.csv,154,7.961000,-33.529804,29.045364,5.290343,8.281020,18.325561,33.529804,42.247534,-2.834134,7.586310,7.590048,7.393967,25.507520,47.057425,,,0.000000,0.784791,0.802175,0.802175,0.784800,1.022139,7.080929,-39.000000,38.960655,0.833734,4.500000,simulation_reference_envelope,yes,patokan_awal_real_berbasis_model; wajib dibandingkan dengan log alat asli sebelum diklaim gaya motor aktual
