workspace,phase,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,motor_command_cm_s,cart_joint_effort_cmd_n,cart_force_cmd_n,hinge_assist_torque_nm,note
real,BALANCE,26.655,-0.425812,0.657978,-0.223053,0.784790484,0.018167340,-0.007431817,0.105268,7,-0.002230527,-0.223052661,-0.159323329,-0.159323329,0.000000000,manual_A_near_upright
real,BALANCE,26.675,-0.402255,0.633106,-0.210457,0.784792168,0.021439471,-0.007020673,0.104509,7,-0.002104573,-0.210457302,-0.150326644,-0.150326644,0.000000000,manual_A_near_upright
real,BALANCE,26.696,-0.375130,0.603713,-0.196114,0.784793989,0.024489635,-0.006547261,0.103770,7,-0.001961137,-0.196113743,-0.140081245,-0.140081245,0.000000000,manual_A_near_upright
real,BALANCE,26.716,-0.344712,0.570096,-0.179987,0.784795878,0.027294618,-0.006016362,0.103029,7,-0.001799870,-0.179987031,-0.128562165,-0.128562165,0.000000000,manual_A_near_upright
real,BALANCE,26.737,-0.311302,0.532590,-0.162345,0.784797767,0.029828226,-0.005433252,0.102287,7,-0.001623454,-0.162345441,-0.115961029,-0.115961029,0.000000000,manual_A_near_upright
real,BALANCE,26.757,-0.275230,0.491565,-0.143353,0.784799587,0.032069986,-0.004803676,0.101560,7,-0.001433532,-0.143353232,-0.102395165,-0.102395165,0.000000000,manual_A_near_upright
real,BALANCE,26.778,-0.236845,0.447418,-0.123112,0.784801272,0.034001778,-0.004133722,0.100826,7,-0.001231122,-0.123112155,-0.087937254,-0.087937254,0.000000000,manual_A_near_upright
real,BALANCE,26.798,-0.196516,0.400576,-0.101913,0.784802763,0.035606541,-0.003429854,0.100110,7,-0.001019132,-0.101913204,-0.072795145,-0.072795145,0.000000000,manual_A_near_upright
real,BALANCE,26.819,-0.154629,0.351484,-0.079848,0.784804009,0.036872209,-0.002698785,0.099386,7,-0.000798481,-0.079848149,-0.057034392,-0.057034392,0.000000000,manual_A_near_upright
real,BALANCE,26.839,-0.111582,0.300610,-0.057216,0.784804968,0.037787807,-0.001947466,0.098680,7,-0.000572163,-0.057216256,-0.040868754,-0.040868754,0.000000000,manual_A_near_upright
real,BALANCE,26.860,-0.067780,0.248433,-0.034151,0.784805607,0.038346867,-0.001182992,0.097967,7,-0.000341513,-0.034151295,-0.024393782,-0.024393782,0.000000000,manual_A_near_upright
real,BALANCE,26.880,-0.023638,0.195441,-0.010947,0.784805909,0.038545047,-0.000412569,0.097274,7,-0.000109472,-0.010947248,-0.007819463,-0.007819463,0.000000000,manual_A_near_upright
real,BALANCE,26.901,0.020431,0.142128,0.014071,0.784805868,0.038382570,0.000356590,0.096571,7,0.000140707,0.014070677,0.010050484,0.010050484,0.000000000,manual_A_near_upright
real,BALANCE,26.922,0.063969,0.089011,0.037657,0.784805468,0.037791840,0.001116462,0.095874,7,0.000376570,0.037657024,0.026897874,0.026897874,0.000000000,manual_A_near_upright
real,BALANCE,26.942,0.106498,0.036613,0.059132,0.784804745,0.036819793,0.001858734,0.095193,7,0.000591317,0.059131714,0.042236939,0.042236939,0.000000000,manual_A_near_upright
real,BALANCE,26.962,0.147655,-0.014601,0.081020,0.784803748,0.035535906,0.002577069,0.094506,7,0.000810199,0.081019859,0.057871328,0.057871328,0.000000000,manual_A_near_upright
real,BALANCE,26.983,0.187067,-0.064170,0.101508,0.784802512,0.033922557,0.003264940,0.093830,7,0.001015084,0.101508437,0.072506026,0.072506026,0.000000000,manual_A_near_upright
real,BALANCE,27.004,0.224377,-0.111648,0.120836,0.784801089,0.032007622,0.003916113,0.093154,7,0.001208362,0.120836155,0.086311539,0.086311539,0.000000000,manual_A_near_upright
real,BALANCE,27.024,0.259259,-0.156621,0.138906,0.784799538,0.029814527,0.004524926,0.092492,7,0.001389061,0.138906065,0.099218618,0.099218618,0.000000000,manual_A_near_upright
real,BALANCE,27.045,0.291413,-0.198696,0.155485,0.784797920,0.027364458,0.005086108,0.091825,7,0.001554852,0.155485230,0.111060879,0.111060879,0.000000000,manual_A_near_upright
real,BALANCE,27.065,0.320564,-0.237516,0.170420,0.784796296,0.024683672,0.005594897,0.091174,7,0.001704200,0.170420019,0.121728585,0.121728585,0.000000000,manual_A_near_upright
real,BALANCE,27.085,0.346473,-0.272756,0.183666,0.784794727,0.021800588,0.006047088,0.090527,7,0.001836664,0.183666414,0.131190296,0.131190296,0.000000000,manual_A_near_upright
real,BALANCE,27.106,0.368930,-0.304125,0.195082,0.784793270,0.018742591,0.006439036,0.089873,7,0.001950820,0.195081974,0.139344267,0.139344267,0.000000000,manual_A_near_upright
real,BALANCE,27.127,0.387759,-0.331373,0.204552,0.784791980,0.015539538,0.006767665,0.089226,7,0.002045519,0.204551921,0.146108515,0.146108515,0.000000000,manual_A_near_upright
real,BALANCE,27.147,0.402820,-0.354290,0.212048,0.784790900,0.012223188,0.007030539,0.088591,7,0.002120480,0.212047953,0.151462824,0.151462824,0.000000000,manual_A_near_upright
real,BALANCE,27.167,0.414010,-0.372709,0.217519,0.784790067,0.008824971,0.007225844,0.087972,7,0.002175195,0.217519457,0.155371041,0.155371041,0.000000000,manual_A_near_upright
real,BALANCE,27.187,0.421261,-0.386503,0.220987,0.784789510,0.005376111,0.007352399,0.087337,7,0.002209872,0.220987209,0.157848007,0.157848007,0.000000000,manual_A_near_upright
real,BALANCE,27.218,0.424690,-0.398357,0.222218,0.784789221,0.000175232,0.007412242,0.086406,7,0.002222184,0.222218417,0.158727441,0.158727441,0.000000000,manual_A_near_upright
real,BALANCE,27.239,0.422031,-0.400329,0.220610,0.784789398,-0.003261209,0.007365834,0.085781,7,0.002206097,0.220609711,0.157578365,0.157578365,0.000000000,manual_A_near_upright
real,BALANCE,27.259,0.415512,-0.397598,0.218662,0.784789856,-0.006604405,0.007252054,0.085177,7,0.002186619,0.218661936,0.156187097,0.156187097,0.000000000,manual_A_near_upright
real,BALANCE,27.280,0.405190,-0.390220,0.212321,0.784790581,-0.009911951,0.007071903,0.084560,7,0.002123211,0.212321080,0.151657915,0.151657915,0.000000000,manual_A_near_upright
real,BALANCE,27.300,0.391177,-0.378299,0.204548,0.784791540,-0.013091343,0.006827321,0.083953,7,0.002045478,0.204547751,0.146105536,0.146105536,0.000000000,manual_A_near_upright
real,BALANCE,27.321,0.373652,-0.362001,0.195686,0.784792694,-0.016111072,0.006521454,0.083344,7,0.001956861,0.195686117,0.139775798,0.139775798,0.000000000,manual_A_near_upright
real,BALANCE,27.342,0.352794,-0.341513,0.184449,0.784794001,-0.018974027,0.006157424,0.082733,7,0.001844487,0.184448726,0.131749090,0.131749090,0.000000000,manual_A_near_upright
real,BALANCE,27.362,0.328806,-0.317057,0.171306,0.784795413,-0.021645424,0.005738748,0.082157,7,0.001713062,0.171306152,0.122361537,0.122361537,0.000000000,manual_A_near_upright
real,BALANCE,27.393,0.287543,-0.273544,0.149942,0.784797602,-0.025215472,0.005018571,0.081275,7,0.001499416,0.149941560,0.107101115,0.107101115,0.000000000,manual_A_near_upright
real,BALANCE,27.413,0.256891,-0.240416,0.133572,0.784799037,-0.027298889,0.004483601,0.080696,7,0.001335720,0.133571975,0.095408554,0.095408554,0.000000000,manual_A_near_upright
real,BALANCE,27.434,0.224078,-0.204386,0.116371,0.784800389,-0.029110407,0.003910892,0.080111,7,0.001163711,0.116371104,0.083122217,0.083122217,0.000000000,manual_A_near_upright
real,BALANCE,27.454,0.189418,-0.165818,0.098058,0.784801612,-0.030643106,0.003305974,0.079548,7,0.000980580,0.098058021,0.070041444,0.070041444,0.000000000,manual_A_near_upright
real,BALANCE,27.475,0.153246,-0.125096,0.079040,0.784802662,-0.031881083,0.002674653,0.078969,7,0.000790400,0.079040030,0.056457164,0.056457164,0.000000000,manual_A_near_upright
real,BALANCE,27.505,0.096894,-0.060851,0.049460,0.784803838,-0.033163570,0.001691116,0.078128,7,0.000494601,0.049460073,0.035328624,0.035328624,0.000000000,manual_A_near_upright
real,BALANCE,27.526,0.058459,-0.016527,0.028760,0.784804322,-0.033639344,0.001020307,0.077563,7,0.000287604,0.028760394,0.020543138,0.020543138,0.000000000,manual_A_near_upright
real,BALANCE,27.547,0.019768,0.028484,0.008942,0.784804540,-0.033777091,0.000345020,0.077008,7,0.000089416,0.008941630,0.006386879,0.006386879,0.000000000,manual_A_near_upright
real,BALANCE,27.567,-0.018833,0.073757,-0.013037,0.784804499,-0.033614842,-0.000328701,0.076449,7,-0.000130374,-0.013037440,-0.009312457,-0.009312457,0.000000000,manual_A_near_upright
real,BALANCE,27.588,-0.056947,0.118842,-0.033522,0.784804183,-0.033079052,-0.000993909,0.075898,7,-0.000335219,-0.033521930,-0.023944236,-0.023944236,0.000000000,manual_A_near_upright
real,BALANCE,27.618,-0.112331,0.185136,-0.062053,0.784803260,-0.031680031,-0.001960541,0.075098,7,-0.000620529,-0.062052920,-0.044323514,-0.044323514,0.000000000,manual_A_near_upright
real,BALANCE,27.639,-0.147594,0.227849,-0.080608,0.784802394,-0.030395369,-0.002576008,0.074552,7,-0.000806081,-0.080608081,-0.057577201,-0.057577201,0.000000000,manual_A_near_upright
real,BALANCE,27.659,-0.181153,0.268909,-0.098000,0.784801364,-0.028833103,-0.003161713,0.074024,7,-0.000980002,-0.098000209,-0.070000150,-0.070000150,0.000000000,manual_A_near_upright
real,BALANCE,27.680,-0.212725,0.307949,-0.114835,0.784800217,-0.027027095,-0.003712747,0.073495,7,-0.001148349,-0.114834923,-0.082024945,-0.082024945,0.000000000,manual_A_near_upright
real,BALANCE,27.700,-0.241999,0.344598,-0.129266,0.784798992,-0.024962443,-0.004223682,0.072969,7,-0.001292655,-0.129265535,-0.092332525,-0.092332525,0.000000000,manual_A_near_upright
real,BALANCE,27.721,-0.268749,0.378539,-0.143345,0.784797746,-0.022706443,-0.004690561,0.072440,7,-0.001433454,-0.143345389,-0.102389563,-0.102389563,0.000000000,manual_A_near_upright
real,BALANCE,27.742,-0.292749,0.409474,-0.155596,0.784796519,-0.020253247,-0.005109435,0.071911,7,-0.001555956,-0.155595566,-0.111139690,-0.111139690,0.000000000,manual_A_near_upright
real,BALANCE,27.762,-0.313808,0.437137,-0.166631,0.784795359,-0.017641289,-0.005476982,0.071403,7,-0.001666312,-0.166631193,-0.119022281,-0.119022281,0.000000000,manual_A_near_upright
real,BALANCE,27.783,-0.331740,0.461284,-0.175632,0.784794309,-0.014882868,-0.005789957,0.070889,7,-0.001756323,-0.175632295,-0.125451639,-0.125451639,0.000000000,manual_A_near_upright
real,BALANCE,27.803,-0.346422,0.481721,-0.183138,0.784793405,-0.012016094,-0.006046206,0.070386,7,-0.001831377,-0.183137710,-0.130812650,-0.130812650,0.000000000,manual_A_near_upright
real,BALANCE,27.823,-0.357737,0.498279,-0.188301,0.784792679,-0.009052424,-0.006243680,0.069882,7,-0.001883010,-0.188300999,-0.134500714,-0.134500714,0.000000000,manual_A_near_upright
real,BALANCE,27.844,-0.365613,0.510832,-0.192167,0.784792157,-0.006042509,-0.006381144,0.069377,7,-0.001921672,-0.192167153,-0.137262252,-0.137262252,0.000000000,manual_A_near_upright
real,BALANCE,27.865,-0.370017,0.519296,-0.194318,0.784791853,-0.003004756,-0.006458017,0.068882,7,-0.001943179,-0.194317890,-0.138798493,-0.138798493,0.000000000,manual_A_near_upright
real,BALANCE,27.885,-0.370928,0.523616,-0.194326,0.784791777,0.000041306,-0.006473910,0.068392,7,-0.001943260,-0.194325960,-0.138804257,-0.138804257,0.000000000,manual_A_near_upright
real,BALANCE,27.906,-0.368380,0.523786,-0.193538,0.784791927,0.003039881,-0.006429436,0.067897,7,-0.001935377,-0.193537657,-0.138241183,-0.138241183,0.000000000,manual_A_near_upright
real,BALANCE,27.926,-0.362067,0.519541,-0.191017,0.784792315,0.006129277,-0.006319258,0.067404,7,-0.001910169,-0.191016904,-0.136440645,-0.136440645,0.000000000,manual_A_near_upright
real,BALANCE,27.946,-0.353180,0.511837,-0.185606,0.784792860,0.008878695,-0.006164154,0.066932,7,-0.001856062,-0.185606242,-0.132575887,-0.132575887,0.000000000,manual_A_near_upright
real,BALANCE,27.967,-0.340685,0.499865,-0.178919,0.784793607,0.011657416,-0.005946080,0.066454,7,-0.001789190,-0.178918984,-0.127799274,-0.127799274,0.000000000,manual_A_near_upright
real,BALANCE,27.997,-0.316212,0.474787,-0.165606,0.784794995,0.015583440,-0.005518948,0.065759,7,-0.001656056,-0.165605637,-0.118289741,-0.118289741,0.000000000,manual_A_near_upright
real,BALANCE,28.017,-0.296338,0.453586,-0.155301,0.784796046,0.017992410,-0.005172077,0.065290,7,-0.001553011,-0.155301075,-0.110929339,-0.110929339,0.000000000,manual_A_near_upright
real,BALANCE,28.038,-0.273846,0.429047,-0.143223,0.784797154,0.020225988,-0.004779515,0.064817,7,-0.001432231,-0.143223055,-0.102302182,-0.102302182,0.000000000,manual_A_near_upright
real,BALANCE,28.059,-0.248952,0.401415,-0.129729,0.784798278,0.022259975,-0.004345037,0.064352,7,-0.001297295,-0.129729477,-0.092663912,-0.092663912,0.000000000,manual_A_near_upright
real,BALANCE,28.079,-0.221920,0.370971,-0.115629,0.784799373,0.024063329,-0.003873234,0.063893,7,-0.001156287,-0.115628684,-0.082591917,-0.082591917,0.000000000,manual_A_near_upright
real,BALANCE,28.100,-0.193015,0.338016,-0.100018,0.784800404,0.025642729,-0.003368752,0.063430,7,-0.001000178,-0.100017753,-0.071441252,-0.071441252,0.000000000,manual_A_near_upright
real,BALANCE,28.120,-0.162513,0.302869,-0.084432,0.784801328,0.026955387,-0.002836395,0.062969,7,-0.000844319,-0.084431867,-0.060308476,-0.060308476,0.000000000,manual_A_near_upright
real,BALANCE,28.141,-0.130718,0.265872,-0.067757,0.784802119,0.028018566,-0.002281459,0.062521,7,-0.000677567,-0.067756721,-0.048397658,-0.048397658,0.000000000,manual_A_near_upright
real,BALANCE,28.161,-0.097919,0.227373,-0.050336,0.784802749,0.028819199,-0.001709008,0.062085,7,-0.000503359,-0.050335943,-0.035954245,-0.035954245,0.000000000,manual_A_near_upright
real,BALANCE,28.181,-0.064434,0.187740,-0.032757,0.784803196,0.029341848,-0.001124577,0.061649,7,-0.000327572,-0.032757219,-0.023398014,-0.023398014,0.000000000,manual_A_near_upright
real,BALANCE,28.202,-0.030578,0.147347,-0.014895,0.784803446,0.029588639,-0.000533690,0.061202,7,-0.000148947,-0.014894662,-0.010639044,-0.010639044,0.000000000,manual_A_near_upright
real,BALANCE,28.222,0.003328,0.106574,0.003161,0.784803494,0.029556619,0.000058091,0.060769,7,0.000031612,0.003161245,0.002258032,0.002258032,0.000000000,manual_A_near_upright
real,BALANCE,28.243,0.038626,0.063773,0.023293,0.784803323,0.029207375,0.000674153,0.060322,7,0.000232934,0.023293444,0.016638174,0.016638174,0.000000000,manual_A_near_upright
real,BALANCE,28.264,0.071577,0.023438,0.039850,0.784802954,0.028547668,0.001249250,0.059880,7,0.000398498,0.039849809,0.028464149,0.028464149,0.000000000,manual_A_near_upright
real,BALANCE,28.294,0.119105,-0.035460,0.064894,0.784802089,0.027098534,0.002078772,0.059249,7,0.000648938,0.064893766,0.046352690,0.046352690,0.000000000,manual_A_near_upright
real,BALANCE,28.315,0.147659,-0.071297,0.079713,0.784801378,0.025888023,0.002577135,0.058827,7,0.000797127,0.079712722,0.056937658,0.056937658,0.000000000,manual_A_near_upright
