elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_force_cmd_n,hinge_assist_torque_nm
3.4968776340010663,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,1,0.0,0.0
3.5072612540006958,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,1,0.0,0.0
3.5185309290009172,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.529129845999705,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.539818039000238,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.550597393001226,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.5609349090009346,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.5714765430002444,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.583003916999587,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.592976923000606,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.6031247089995304,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.613784540000779,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.623555383001076,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.6342787829998997,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.644562647999919,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.6547364910002216,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.6653597870008525,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.6755302760011546,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.6859303809997073,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.6960308010002336,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.706023433000155,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.71661424299964,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.7270776349996595,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.7372211559995776,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.747723317999771,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.7581089610011986,-180.0,0.0,6.557433750767813,0.0,0.0,-3.141592653589793,0.0,6,4.683881250548438,0.0
3.7687455960003717,-179.96386005580442,0.01685501672258345,2.8007756377212147,2.4155574746492656e-05,0.07758465493050312,-3.140961892572093,0.0,6,2.0005540269437248,0.0
3.778999768999711,-179.86854120428023,0.061483975432826396,2.80356044315954,0.00011088237268270997,0.16571778206044857,-3.1392982647737764,0.0,6,2.0005540269437248,0.0
