workspace,phase,samples,start_elapsed_s,end_elapsed_s,duration_s,degree_min_deg,degree_max_deg,degree_abs_mean_deg,theta_dot_min_rad_s,theta_dot_max_rad_s,theta_dot_abs_mean_rad_s,energy_min_j,energy_max_j,energy_mean_j,cmX_min_cm,cmX_max_cm,setspeed_abs_mean_cm_s,cart_force_min_n,cart_force_max_n,cart_force_abs_mean_n,hinge_assist_min_nm,hinge_assist_max_nm,hinge_assist_abs_mean_nm,notes
pendulum_pid_ws,BALANCE,459,6.956000,30.503000,23.547000,-5.224361,-0.009590,0.194700,-0.253011,0.408953,0.005981,0.783238,0.784800,0.784775,2.662961,31.411075,0.109458,-2.779945,12.751555,0.072008,-0.458102,0.785429,0.006425,manual_A_near_upright
pendulum_pid_ws,SWING_UP,130,0.283000,6.905000,6.622000,-179.899764,179.630988,114.800736,-10.466013,11.474053,1.549897,0.000086,0.783128,0.299039,-38.262323,37.253237,25.763785,-145.000000,145.000000,64.359859,-3.540140,4.143786,0.255530,auto_capture;manual_A_near_upright
pendulum_real_ws,BALANCE,458,7.053000,30.500000,23.447000,-8.839704,-0.009591,0.324101,-0.209444,0.180226,0.006921,0.780164,0.784800,0.784718,0.027845,31.135837,0.101451,-2.069326,5.224935,0.051288,-0.459919,0.370909,0.004795,manual_A_near_upright
pendulum_real_ws,SWING_UP,132,0.262000,7.002000,6.740000,-180.000000,179.995029,127.751979,-10.001994,11.554127,1.634298,0.000000,0.779804,0.244682,-37.222913,37.125122,28.459399,-145.000000,145.000000,73.181018,-4.343770,4.500000,0.315975,auto_capture;manual_A_near_upright
ros2_pendulum_ws,BALANCE,456,7.080000,30.514000,23.434000,0.009596,8.752028,0.322211,-0.475674,0.246260,0.007942,0.780290,0.784800,0.784723,-31.900981,-0.031139,0.257742,-26.306322,20.000000,0.301935,-0.845085,0.699551,0.012267,manual_A_near_upright
ros2_pendulum_ws,SWING_UP,133,0.281000,7.030000,6.749000,-179.932273,179.859887,123.365858,-12.126028,11.052415,1.571977,0.000319,0.780010,0.261094,-37.195117,36.914116,25.299007,-90.000000,90.000000,49.044469,-1.631251,2.455401,0.190206,auto_capture;manual_A_near_upright
