workspace,phase,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,cart_force_cmd_n,hinge_assist_torque_nm,note
pendulum_real_ws,BALANCE,10.899,-0.072626,-34.312550,31.537964,0.787209597,-0.776194556,-0.001267571,-7.320317,7,0.315379638,125.057572976,2.489526651,manual_A_near_upright
pendulum_real_ws,BALANCE,10.951,2.737302,-28.924529,-15.347252,0.821429294,3.044545303,0.047774941,-7.320317,7,-0.153472522,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,11.004,-1.614897,-33.699489,28.350932,0.802108640,-2.089527010,-0.028185275,-7.320317,7,0.283509324,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,11.056,1.104919,-28.374918,-0.654664,0.784963210,0.242987947,0.019284475,-7.292963,7,-0.006546638,6.802555995,-0.864341568,manual_A_near_upright
pendulum_real_ws,BALANCE,11.108,-0.960483,-26.131033,13.955399,0.799025016,1.889454326,-0.016763598,-7.292963,7,0.139553988,-150.000000000,-5.970817651,manual_A_near_upright
pendulum_real_ws,BALANCE,11.160,-0.571416,-27.549418,28.941133,0.810070520,-2.514459880,-0.009973087,-7.267094,7,0.289411332,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,11.213,0.926431,-21.269056,-15.880542,0.790146305,1.161636742,0.016169273,-7.239516,7,-0.158805416,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,11.264,-2.228820,-22.982643,51.312029,0.787975336,-0.931691253,-0.038900251,-7.239516,7,0.513120293,46.211810198,3.156463138,manual_A_near_upright
pendulum_real_ws,BALANCE,11.316,1.414918,-21.171872,6.165627,0.786639998,-0.699936314,0.024694985,-7.239516,7,0.061656273,150.000000000,2.128668769,manual_A_near_upright
pendulum_real_ws,BALANCE,11.367,-0.232451,-18.359721,20.591178,0.810475808,2.533724381,-0.004057030,-7.239516,7,0.205911783,-150.000000000,-6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,11.419,-1.489984,-20.991567,33.589733,0.810163175,-2.524670804,-0.026005128,-7.239516,7,0.335897331,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,11.473,1.201627,-16.445776,16.410574,0.784842764,0.179623065,0.020972353,-7.212553,7,0.164105740,15.203432524,-0.669169397,manual_A_near_upright
pendulum_real_ws,BALANCE,11.524,-0.665600,-15.133181,31.192827,0.796786469,1.732984887,-0.011616914,-7.186160,7,0.311928268,-150.000000000,-5.493275526,manual_A_near_upright
pendulum_real_ws,BALANCE,11.576,-0.812442,-17.751223,45.320934,0.800086566,-1.957422683,-0.014179789,-7.159780,7,0.453209338,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,11.629,1.824954,-16.899271,1.924304,0.784847070,0.248042755,0.031851450,-7.133710,7,0.019243036,72.255413471,-0.937068340,manual_A_near_upright
pendulum_real_ws,BALANCE,11.680,-1.094019,-16.990250,17.810197,0.790912476,1.243383118,-0.019094236,-7.133710,7,0.178101974,-150.000000000,-3.892901913,manual_A_near_upright
pendulum_real_ws,BALANCE,11.733,-0.933573,-19.572927,32.565171,0.803481564,-2.164119495,-0.016293924,-7.133710,7,0.325651712,150.000000000,6.000000000,manual_A_near_upright
pendulum_real_ws,BALANCE,11.785,1.807820,-18.097146,-11.435545,0.789563888,1.113463041,0.031552403,-7.108090,7,-0.114355450,-64.277589315,-3.705067542,manual_A_near_upright
