elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_force_cmd_n,hinge_assist_torque_nm
3.333065730001181,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,1,0.0,0.0
3.343245118001505,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,1,0.0,0.0
3.3543481650012836,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,1,0.0,0.0
3.3649192259999836,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,1,0.0,0.0
3.3761249409999436,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.3869116740006575,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.397641626001132,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.4083782120014803,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.418710554000427,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.429900903000089,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.440312096001435,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.450573339001494,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.4610370530008367,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.471844460000284,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.4824565880007867,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.492636325001513,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.5030232130011427,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.5134952389998944,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.523844203000408,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.5342449190011394,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.54465918599999,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.555000956001095,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.5650662220014055,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.5754718980006146,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.585617622000427,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.596196715001497,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.606377500000235,-180.0,0.0,0.0,0.0,0.0,-3.141592653589793,0.0,3,0.0,0.0
3.6167725600007543,-180.0,0.0,6.551087759980874,0.0,0.0,-3.141592653589793,0.0,6,4.679348399986338,0.0
3.6270526600001176,-179.96389503415872,0.016838703450770452,2.800774137032603,2.4108839015388253e-05,0.07750956395930483,-3.140962503059543,0.0,6,2.000552955023288,0.0
3.6374473700016097,-179.86865350840992,0.06143143043331753,2.803554925188071,0.00011071052728557146,0.1655894408654076,-3.139300224850603,0.0,6,2.0025392322771935,0.0
3.647683120001602,-179.74018769674112,0.12196575948467442,2.8067273085159843,0.00020950760806922117,0.22664579677176905,-3.1370580734607354,0.0,6,2.00480522036856,0.0
3.658100110000305,-179.57916827103082,0.19842098605404931,-3.724075711116019,0.0003325768930938566,0.283721885082984,-3.1342477543224208,0.0,6,-2.660054079368585,0.0
3.6685203130000446,-179.4224066402448,0.273974718917707,-0.6745669132183792,0.0002940551523199966,0.2617807108447447,-3.1315117477244088,0.0,6,-0.48183350944169945,0.0
3.6788185720015463,-179.29762758178043,0.3359214435377847,2.807130674675231,0.0002220695827429035,0.21942299353270645,-3.1293339423166673,0.0,6,2.0050933390537367,0.0
3.68905837300008,-179.1654776760181,0.4027749764504208,2.7856447480533344,0.0002673323854309129,0.23754498420627562,-3.127027491354914,0.0,6,1.9897462486095243,0.0
3.699002463999932,-179.00324974370588,0.4853863642421482,-3.591113192253227,0.0003867311487520645,0.2860745205697568,-3.1241960797973634,0.0,6,1.9897462486095243,0.0
3.709488248001435,-178.84705916733355,0.5672525639980448,-0.9899309588455885,0.00035182304027637904,0.2609504261719016,-3.1214700399790787,0.0,6,-0.7070935420325632,0.0
3.72019599000123,-178.7260492207131,0.6350005506766994,2.808876974487816,0.0002764543483347701,0.2118142939854977,-3.119358017982889,0.0,6,2.0063406960627255,0.0
3.730157751000661,-178.60210792622556,0.7065521793339922,2.8101563308933635,0.00031629716210758327,0.22333506318234445,-3.1171948343148976,0.0,6,2.007254522066688,0.0
3.7401634420002665,-178.45021923488497,0.7938155439669655,-2.3985589357551595,0.0004306703589313458,0.2679235250052167,-3.114543876554459,0.0,6,2.007254522066688,0.0
3.750673601000017,-178.2998480382038,0.883364904635226,-0.3260669848322486,0.0004292390323595663,0.25322779620501756,-3.1119194040722085,0.0,6,-0.23290498916589186,0.0
3.761363882000296,-178.17519324286238,0.964137135069762,2.8125061852835214,0.00038947834168683704,0.21821972309150225,-3.109743767465101,0.0,6,2.0089329894882297,0.0
3.7709776900010183,-178.04541117467195,1.0506914149706783,2.5203788627454338,0.000444565344746115,0.23251701788158433,-3.1074786430651304,0.0,6,1.8002706162467383,0.0
3.7811904630016215,-177.89158362719184,1.1521051644050126,-3.34334614676561,0.0005580567016392563,0.2703710462199813,-3.1047938458813342,0.0,6,-2.3881043905468644,0.0
3.790962463001051,-177.74873039641616,1.2523494033655456,1.3516330348502705,0.0005296560318499798,0.2381115224441491,-3.1023005866571878,0.0,6,0.9654521677501933,0.0
3.8016066489999503,-177.6309181866951,1.3450497196278213,2.8164772680930437,0.0005131492063261289,0.21080664254059378,-3.100244375698505,0.0,6,2.0117694772093166,0.0
3.811775281001246,-177.4988919404515,1.4486993499383796,1.5495069130146355,0.0005940073912700354,0.2346265386994893,-3.0979400830025052,0.0,6,1.106790652153311,0.0
3.8217080570011603,-177.3504103233841,1.5646095214640208,-2.236175956444352,0.000686832734999676,0.25852038989168075,-3.095348589905994,0.0,6,1.106790652153311,0.0
