elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_force_cmd_n,hinge_assist_torque_nm
12.36519900499843,0.0,1.2935653879187672e-28,-4.17918298563275e-15,0.7848000000000002,-2.4876089200413075e-17,0.0,0.0,7,-2.9851307040233925e-15,0.0
12.375501935999637,0.0,-1.6374138448045312e-27,-1.1359835572097335e-14,0.7848000000000002,-6.761806887830185e-17,0.0,0.0,7,-8.11416826578381e-15,0.0
12.385715258998971,0.0,-7.163754996280418e-27,-1.8879922077471088e-14,0.7848000000000002,-1.1238048854649758e-16,0.0,0.0,7,-1.3485658626765063e-14,0.0
12.396374871999797,0.0,-1.7376979980293395e-26,-2.648178778577589e-14,0.7848000000000002,-1.5762968918337052e-16,0.0,0.0,7,-1.8915562704125636e-14,0.0
12.406148540998402,0.0,-3.1493363152707574e-26,-3.4160626416342835e-14,0.7848000000000002,-2.0333706197677474e-16,0.0,0.0,7,-1.8915562704125636e-14,0.0
12.416252701999838,0.0,-5.0425343252885953e-26,-4.194302966519989e-14,0.7848000000000002,-2.49660890830778e-16,0.0,0.0,7,-2.4400447440244882e-14,0.0
12.426583568998467,0.0,-7.379568252779436e-26,-4.9856017671858387e-14,0.7848000000000002,-2.9676200990979045e-16,0.0,0.0,7,-2.9959306903714204e-14,0.0
12.43716279399996,0.0,-1.0167690749320412e-25,-5.792802659832514e-14,0.7848000000000002,-3.448096820826918e-16,0.0,0.0,7,-3.561144119418456e-14,0.0
12.447865708998506,0.0,-1.3415770121415285e-25,-6.618813305855383e-14,0.7848000000000002,-3.9397698243249036e-16,0.0,0.0,7,-4.727723789896702e-14,0.0
12.45811646799848,0.0,-1.7134331191024145e-25,-7.466603110277428e-14,0.7848000000000002,-4.444406612581401e-16,0.0,0.0,7,-5.333287935912449e-14,0.0
12.467884828998649,0.0,-2.133559076348926e-25,-8.339212553958626e-14,0.7848000000000002,-4.963816995631788e-16,0.0,0.0,7,-5.333287935912449e-14,0.0
12.478121059999467,0.0,-2.6033497501988652e-25,-9.239763973853683e-14,0.7848000000000002,-5.499859507377342e-16,0.0,0.0,7,-5.956580395684733e-14,0.0
12.488558505998299,0.0,-3.1243777225408384e-25,-1.0171472740533185e-13,0.7848000000000002,-6.054448058871638e-16,0.0,0.0,7,-7.265337671809417e-14,0.0
12.498464176998823,0.0,-3.6983986033194157e-25,-1.113765875694155e-13,0.7848000000000002,-6.629558782819336e-16,0.0,0.0,7,-7.265337671809417e-14,0.0
12.509026708999954,0.0,-4.327356823732403e-25,-1.214175830720854e-13,0.7848000000000002,-7.227237086440153e-16,0.0,0.0,7,-7.955470540672537e-14,0.0
12.51999676899868,0.0,-5.013392347711507e-25,-1.3187336296556068e-13,0.7848000000000002,-7.849604937127704e-16,0.0,0.0,7,-9.419525926111477e-14,0.0
