workspace,elapsed_s,degree_deg,cmX_cm,setspeed_cm_s,energy_j,theta_dot_rad_s,theta_rad,x_center_cm,mode,cart_velocity_cmd_mps,cart_force_cmd_n,hinge_assist_torque_nm,external_force_n,note
lqr,19.471,2.813274,-2.528120,1.530681,0.785052152,0.425756608,0.049100893,0.081088,7,0.015306808,1.093343436,0.000000000,0.000000,recover
lqr,19.492,3.278224,-3.175239,1.759033,0.784790866,0.397800311,0.057215804,0.080503,7,0.017590331,1.256452211,0.000000000,0.000000,recover
lqr,19.512,3.708732,-3.785822,1.969622,0.784516924,0.366980525,0.064729588,0.079931,7,0.019696224,1.406873169,0.000000000,0.000000,recover
lqr,19.533,4.101759,-4.355330,2.160997,0.784240031,0.333589907,0.071589193,0.079353,7,0.021609973,1.543569468,0.000000000,0.000000,recover
lqr,19.563,4.615233,-5.123656,2.408979,0.783839828,0.279363728,0.080551009,0.078514,7,0.024089793,1.720699485,0.000000000,0.000000,recover
lqr,19.584,4.903589,-5.573351,2.546619,0.783595984,0.240930370,0.085583772,0.077945,7,0.025466192,1.819013730,0.000000000,0.000000,recover
lqr,19.605,5.146683,-5.969455,2.660963,0.783379677,0.201067923,0.089826555,0.077382,7,0.026609634,1.900688177,0.000000000,0.000000,recover
lqr,19.625,5.343167,-6.309455,2.751335,0.783197516,0.160127939,0.093255865,0.076827,7,0.027513346,1.965239030,0.000000000,0.000000,recover
lqr,19.646,5.492104,-6.591344,2.817257,0.783054785,0.118466433,0.095855304,0.076270,7,0.028172574,2.012326691,0.000000000,0.000000,recover
lqr,19.677,5.625312,-6.902101,2.869733,0.782922556,0.055405510,0.098180216,0.075457,7,0.028697333,2.049809534,0.000000000,0.000000,recover
lqr,19.697,5.653961,-7.033336,2.873835,0.782891725,0.013506051,0.098680242,0.074918,7,0.028738352,2.052739462,0.000000000,0.000000,recover
lqr,19.717,5.634998,-7.103537,2.853578,0.782906876,-0.027870349,0.098349269,0.074386,7,0.028535783,2.038270207,0.000000000,0.000000,recover
lqr,19.738,5.569311,-7.113042,2.809988,0.782966384,-0.068371081,0.097202813,0.073849,7,0.028099884,2.007134572,0.000000000,0.000000,recover
lqr,19.758,5.458199,-7.062712,2.744217,0.783067165,-0.107659092,0.095263542,0.073327,7,0.027442171,1.960155063,0.000000000,0.000000,recover
lqr,19.779,5.303250,-6.953866,2.654691,0.783204975,-0.145481792,0.092559178,0.072797,7,0.026546914,1.896208136,0.000000000,0.000000,recover
lqr,19.799,5.106433,-6.788308,2.544447,0.783374356,-0.181494361,0.089124068,0.072287,7,0.025444470,1.817462156,0.000000000,0.000000,recover
lqr,19.820,4.870056,-6.568303,2.414850,0.783568986,-0.215422591,0.084998507,0.071762,7,0.024148502,1.724892995,0.000000000,0.000000,recover
lqr,19.840,4.596710,-6.296529,2.266976,0.783781919,-0.247022593,0.080227725,0.071245,7,0.022669764,1.619268859,0.000000000,0.000000,recover
lqr,19.861,4.289259,-5.976055,2.102611,0.784005796,-0.276062244,0.074861695,0.070724,7,0.021026105,1.501864665,0.000000000,0.000000,recover
lqr,19.882,3.950807,-5.610310,1.923438,0.784233128,-0.302340055,0.068954597,0.070210,7,0.019234383,1.373884471,0.000000000,0.000000,recover
lqr,19.903,3.584666,-5.203044,1.731235,0.784456544,-0.325682291,0.062564232,0.069701,7,0.017312350,1.236596448,0.000000000,0.000000,recover
lqr,19.923,3.194324,-4.758290,1.527855,0.784669030,-0.345942879,0.055751479,0.069203,7,0.015278547,1.091324791,0.000000000,0.000000,recover
lqr,19.944,2.783413,-4.280326,1.315216,0.784864152,-0.363004969,0.048579715,0.068702,7,0.013152164,0.939440304,0.000000000,0.000000,recover
lqr,19.965,2.355672,-3.773636,1.095205,0.785036250,-0.376781181,0.041114226,0.068205,7,0.010952051,0.782289343,0.000000000,0.000000,recover
lqr,19.985,1.914919,-3.242867,0.869760,0.785180597,-0.387212327,0.033421636,0.067715,7,0.008697601,0.621257236,0.000000000,0.000000,recover
lqr,20.006,1.465015,-2.692788,0.640814,0.785293523,-0.394268177,0.025569333,0.067227,7,0.006408140,0.457724285,0.000000000,0.000000,recover
lqr,20.027,1.009832,-2.128251,0.410260,0.785372501,-0.397946817,0.017624899,0.066746,7,0.004102598,0.293042740,0.000000000,0.000000,recover
lqr,20.047,0.553223,-1.554150,0.179983,0.785416196,-0.398273582,0.009655557,0.066267,7,0.001799831,0.128559352,0.000000000,0.000000,recover
lqr,20.067,0.098986,-0.975379,-0.048198,0.785424463,-0.395300206,0.001727637,0.065802,7,-0.000481975,-0.034426821,0.000000000,0.000000,recover
lqr,20.088,-0.349157,-0.396794,-0.272443,0.785398322,-0.389103982,-0.006093933,0.065331,7,-0.002724433,-0.194602381,0.000000000,0.000000,recover
lqr,20.108,-0.787596,0.176825,-0.491087,0.785339882,-0.379787669,-0.013746148,0.064865,7,-0.004910866,-0.350776112,0.000000000,0.000000,recover
lqr,20.129,-1.212858,0.740813,-0.702402,0.785252238,-0.367475178,-0.021168366,0.064397,7,-0.007024021,-0.501715802,0.000000000,0.000000,recover
lqr,20.149,-1.621827,1.290745,-0.910455,0.785139656,-0.352437778,-0.028306224,0.063939,7,-0.009104550,-0.650324996,0.000000000,0.000000,recover
lqr,20.169,-2.010936,1.822083,-1.094826,0.785005647,-0.334405312,-0.035097458,0.063485,7,-0.010948257,-0.782018391,0.000000000,0.000000,recover
lqr,20.190,-2.395209,2.355600,-1.287235,0.784849236,-0.313075281,-0.041804278,0.063025,7,-0.012872348,-0.919453438,0.000000000,0.000000,recover
lqr,20.221,-2.879349,3.043188,-1.520666,0.784616721,-0.279336598,-0.050254123,0.062356,7,-0.015206660,-1.086190035,0.000000000,0.000000,recover
lqr,20.241,-3.178500,3.479171,-1.671899,0.784454055,-0.253824498,-0.055475287,0.061910,7,-0.016718987,-1.194213383,0.000000000,0.000000,recover
lqr,20.261,-3.446650,3.880188,-1.795651,0.784295107,-0.226316322,-0.060155393,0.061476,7,-0.017956509,-1.282607762,0.000000000,0.000000,recover
lqr,20.282,-3.682180,4.243500,-1.909200,0.784145981,-0.197506463,-0.064266160,0.061035,7,-0.019092005,-1.363714622,0.000000000,0.000000,recover
lqr,20.302,-3.883666,4.566679,-2.004694,0.784011092,-0.167472735,-0.067782760,0.060599,7,-0.020046941,-1.431924356,0.000000000,0.000000,recover
lqr,20.322,-4.049948,4.847643,-2.084363,0.783894707,-0.136550532,-0.070684931,0.060174,7,-0.020843634,-1.488830965,0.000000000,0.000000,recover
lqr,20.342,-4.180123,5.084669,-2.139829,0.783800093,-0.104816393,-0.072956913,0.059750,7,-0.021398293,-1.528449502,0.000000000,0.000000,recover
lqr,20.363,-4.273607,5.276429,-2.178806,0.783730126,-0.072746628,-0.074588519,0.059313,7,-0.021788058,-1.556289846,0.000000000,0.000000,recover
lqr,20.394,-4.344804,5.477388,-2.203857,0.783674727,-0.024532869,-0.075831129,0.058686,7,-0.022038566,-1.574183279,0.000000000,0.000000,recover
lqr,20.414,-4.346395,5.552932,-2.196188,0.783671710,0.007337904,-0.075858895,0.058262,7,-0.021961877,-1.568705502,0.000000000,0.000000,recover
lqr,20.435,-4.311915,5.581788,-2.171171,0.783695293,0.038643638,-0.075257116,0.057842,7,-0.021711714,-1.550836722,0.000000000,0.000000,recover
lqr,20.465,-4.194461,5.538666,-2.100659,0.783777222,0.084029849,-0.073207150,0.057227,7,-0.021006592,-1.500470852,0.000000000,0.000000,recover
lqr,20.486,-4.074085,5.453698,-2.033059,0.783859379,0.112879225,-0.071106204,0.056815,7,-0.020330594,-1.452185301,0.000000000,0.000000,recover
lqr,20.506,-3.921744,5.325311,-1.948183,0.783959982,0.140381204,-0.068447343,0.056407,7,-0.019481834,-1.391559557,0.000000000,0.000000,recover
lqr,20.527,-3.739196,5.155239,-1.848794,0.784075273,0.166282634,-0.065261286,0.056002,7,-0.018487944,-1.320567400,0.000000000,0.000000,recover
lqr,20.557,-3.413146,4.826552,-1.674267,0.784266751,0.201737525,-0.059570633,0.055411,7,-0.016742667,-1.239782950,0.000000000,0.000000,recover
lqr,20.578,-3.164214,4.561904,-1.542570,0.784400437,0.222865537,-0.055225956,0.055008,7,-0.015425701,-1.101835814,0.000000000,0.000000,recover
lqr,20.598,-2.892742,4.263950,-1.396697,0.784534037,0.241893521,-0.050487876,0.054624,7,-0.013966974,-0.997640976,0.000000000,0.000000,recover
lqr,20.619,-2.601611,3.935806,-1.249926,0.784662676,0.258420549,-0.045406683,0.054225,7,-0.012499257,-0.892804075,0.000000000,0.000000,recover
lqr,20.640,-2.293389,3.580583,-1.089135,0.784783153,0.272698448,-0.040027181,0.053836,7,-0.010891353,-0.777953760,0.000000000,0.000000,recover
lqr,20.660,-1.970871,3.201631,-0.922861,0.784891563,0.284469045,-0.034398187,0.053450,7,-0.009228612,-0.659186584,0.000000000,0.000000,recover
lqr,20.681,-1.636989,2.802468,-0.752273,0.784984858,0.293685061,-0.028570848,0.053064,7,-0.007522726,-0.537337541,0.000000000,0.000000,recover
lqr,20.701,-1.294673,2.386701,-0.577784,0.785060636,0.300337183,-0.022596305,0.052682,7,-0.005777836,-0.412702555,0.000000000,0.000000,recover
lqr,20.722,-0.946884,1.958023,-0.401349,0.785117053,0.304399809,-0.016526248,0.052301,7,-0.004013487,-0.286677672,0.000000000,0.000000,recover
lqr,20.752,-0.421415,1.298986,-0.136216,0.785163108,0.305663860,-0.007355076,0.051754,7,-0.002244437,-0.160316954,0.000000000,0.000000,recover
lqr,20.772,-0.072838,0.854423,0.038860,0.785167737,0.303337341,-0.001271269,0.051392,7,0.000388598,0.027757001,0.000000000,0.000000,recover
lqr,20.793,0.271013,0.410048,0.210939,0.785152114,0.298539737,0.004730064,0.051016,7,0.001253680,0.089548536,0.000000000,0.000000,recover
lqr,20.814,0.607369,-0.030473,0.378602,0.785117490,0.291349026,0.010600596,0.050655,7,0.003786020,0.270429974,0.000000000,0.000000,recover
lqr,20.834,0.933569,-0.463562,0.540669,0.785065698,0.281862499,0.016293851,0.050285,7,0.005406693,0.386192385,0.000000000,0.000000,recover
lqr,20.855,1.247071,-0.885754,0.695820,0.784999071,0.270191933,0.021765503,0.049919,7,0.006191811,0.442272223,0.000000000,0.000000,recover
lqr,20.875,1.545481,-1.293730,0.842898,0.784920359,0.256467253,0.026973726,0.049570,7,0.008428980,0.602069984,0.000000000,0.000000,recover
lqr,20.896,1.826561,-1.684334,0.980888,0.784832620,0.240832794,0.031879512,0.049218,7,0.009808885,0.700634617,0.000000000,0.000000,recover
lqr,20.916,2.088253,-2.054601,1.108729,0.784739111,0.223444183,0.036446899,0.048862,7,0.010461444,0.747245971,0.000000000,0.000000,recover
lqr,20.936,2.328686,-2.401781,1.225488,0.784643181,0.204471049,0.040643239,0.048518,7,0.011685360,0.834668605,0.000000000,0.000000,recover
lqr,20.957,2.546193,-2.723350,1.330432,0.784548158,0.184093894,0.044439448,0.048164,7,0.012794930,0.913923599,0.000000000,0.000000,recover
lqr,20.978,2.739320,-3.017037,1.422768,0.784457235,0.162500527,0.047810151,0.047822,7,0.014227680,1.016262854,0.000000000,0.000000,recover
lqr,21.008,2.980669,-3.400972,1.536455,0.784334941,0.128262271,0.052022494,0.047310,7,0.015364545,1.097467520,0.000000000,0.000000,recover
lqr,21.029,3.107968,-3.616778,1.595056,0.784266516,0.104500852,0.054244267,0.046966,7,0.015950557,1.139325468,0.000000000,0.000000,recover
lqr,21.049,3.207595,-3.798911,1.639492,0.784210997,0.080231819,0.055983098,0.046635,7,0.016394923,1.171065961,0.000000000,0.000000,recover
lqr,21.070,3.279145,-3.946372,1.669656,0.784169919,0.055664670,0.057231870,0.046296,7,0.016696555,1.192611091,0.000000000,0.000000,recover
lqr,21.090,3.322447,-4.058469,1.685438,0.784144295,0.031007298,0.057987637,0.045970,7,0.016854376,1.203884015,0.000000000,0.000000,recover
lqr,21.111,3.337571,-4.134812,1.686976,0.784134600,0.006466707,0.058251601,0.045639,7,0.016869759,1.204982768,0.000000000,0.000000,recover
